Date,Country,City,Deaths,Type,More Info
January 17,Colombia,Bogotá,21,suicide car bomb,Main article : 2019 Bogotá car bombing
January 21,Afghanistan,Maidan Shar,126,car bomb,Main article : Maidan Shar attack
February 14,India,Pulwama,40+,car bomb,Main article : 2019 Pulwama attack
January 27,Afghanistan,Kabul,103+,bomb in ambulance,Main article : 2018 Kabul ambulance bombing
October 14,Somalia,Mogadishu,587,truck bomb,Main article : 14 October 2017 Mogadishu bombings
May 31,Afghanistan,Kabul,90+,car bomb,Main article : May 2017 Kabul attack
April 15,Syria,Aleppo,126+,car bomb,Main article : 2017 Aleppo suicide car bombing
November 24,Iraq,Hillah,125,truck bomb,Main article : November 2016 Hillah suicide truck bombing
July 3,Iraq,Baghdad,323+,truck bomb,Main article : 2016 Karrada bombing
July 3,Iraq,Baghdad,5,car bomb,Main article : 2016 Karrada bombing
May 17,Iraq,Baghdad,30,car bomb,Main article : May 2016 Baghdad bombings
May 17,Iraq,Baghdad,6,car bomb,Main article : May 2016 Baghdad bombings
May 17,Iraq,Baghdad,8,car bomb,Main article : May 2016 Baghdad bombings
January 11,Iraq,Baghdad,12,car bomb,Main article : January 2016 Iraq attacks
October 3,Syria,Aleppo,40,three suicide car bombs,Main article : October 2012 Aleppo bombings
September 9,Syria,Aleppo,30,car bomb,
July 31,Iraq,Baghdad,21,two car bombs,
July 23,Iraq,13 cities,116,"suicide bombs , car bombs , shootings",Main article : 23 July 2012 Iraq attacks
June 13,Iraq,"Baghdad , 6 other cities",93,"suicide car bombs , shootings",Main article : 13 June 2012 Iraq attacks
May 19,Syria,Deir ez-Zor,9,car bomb,Main article : 2012 Deir ez-Zor bombing
