Rank,Name,Height ( m ),Country park,Location,Notes
1,Tai Mo Shan,957,Tai Mo Shan Country Park,Central New Territories,MacLehose Trail Section 8
2,Lantau Peak ( Fung Wong Shan ),934,Lantau South Country Park,Central Lantau Island,Highest publicly accessible summit . Lantau Trail Section 3
3,Sunset Peak ( Tai Tung Shan ),869,Lantau South Country Park,Southern Lantau Island,Lantau Trail Section 2
4,Sze Fong Shan,785,Tai Mo Shan Country Park,Central New Territories,MacLehose Trail Section 8
5,Wo Yeung Shan,771,Tai Mo Shan Country Park,Central New Territories,MacLehose Trail Section 8
6,Lin Fa Shan,766,Lantau North Country Park,Central Lantau Island,Lantau Trail Section 2
7,Miu Ko Toi,765,Tai Mo Shan Country Park,Central New Territories,Second highest peak on Tai Mo Shan
8,Nei Lak Shan,754,Lantau North Country Park,Southern Lantau Island,Lantau Trail Section 3
9,Yi Tung Shan,749,Lantau North Country Park,Eastern Lantau Island,Lantau Trail Section 2
10=,Wo Tong Kong,702,Tai Mo Shan Country Park,Central New Territories,
10=,Ma On Shan,702,Ma On Shan Country Park,Eastern New Territories,
12,The Hunch Backs ( Ngau Ngak Shan ),677,Ma On Shan Country Park,Eastern New Territories,
13,Yin Ngam Teng,660,Tai Mo Shan Country Park,Central New Territories,
14,Grassy Hill,647,Tai Mo Shan Country Park,Central New Territories,
15,Wong Leng,639,Pat Sin Leng Country Park,Northeastern New Territories,
16,Buffalo Hill,606,Ma On Shan Country Park,Eastern New Territories,
17,West Buffalo Hill,604,Ma On Shan Country Park,Eastern New Territories,
18,Kowloon Peak ( Fei Ngo Shan ),602,Ma On Shan Country Park,Eastern Kowloon,
19,Shun Yeung Fung,591,Pat Sin Leng Country Park,Northeastern New Territories,Part of Pat Sin Leng
20,Chau Ma Kong,588,Tai Mo Shan Country Park,Eastern New Territories,
