Mountain,Height ( m ),Drop ( m ),Range,Municipality ( ies )
Titlis,3238,978,Uri Alps,Engelberg
Reissend Nollen,3003,229,Uri Alps,Engelberg
Wissigstock,2887,329,Uri Alps,Engelberg
Rotsandnollen,2700,493,Uri Alps,Kerns
Huetstock,2676,230,Uri Alps,Kerns
Graustock,2662,256,Uri Alps,Kerns
Gross Sättelistock,2637,272,Uri Alps,Engelberg
Hahnen,2606,201,Uri Alps,Engelberg
Glogghüs,2534,554,Uri Alps,Kerns
Hochstollen,2481,160,Uri Alps,Lungern / Kerns
Nünalphorn,2385,214,Uri Alps,Kerns
Brienzer Rothorn,2350,1342,Emmental Alps,Giswil
Heitlistock,2146,284,Uri Alps,Sachseln
Pilatus ( Tomlishorn ),2128,585,Emmental Alps,Alpnach
Chingstuel,2118,190,Uri Alps,Lungern
Schluchberg,2106,364,Uri Alps,Kerns
Güpfi,2043,381,Uri Alps,Lungern
Fürstein,2040,481,Emmental Alps,Sarnen
Hagleren,1949,365,Emmental Alps,Giswil
Stäfeliflue,1922,227,Emmental Alps,Alpnach
