Mountain,Height ( m ),Drop ( m ),Range,Municipality ( ies )
Tödi ( Piz Russein ),3614,1570,Glarus Alps,Glarus Süd
Bifertenstock/Piz Durschin,3419,383,Glarus Alps,Glarus Süd
Clariden,3267,413,Glarus Alps,Glarus Süd
Hausstock,3158,655,Glarus Alps,Glarus Süd
Piz Segnas,3099,607,Glarus Alps,Glarus Süd
Selbsanft,3029,180,Glarus Alps,Glarus Süd
Bündner Vorab,3028,408,Glarus Alps,Glarus Süd
Glärnisch,2915,967,Schwyzer Alps,Glarus / Glarus Süd
Bös Fulen,2802,367,Schwyzer Alps,Glarus
Kärpf,2794,533,Glarus Alps,Glarus Süd
Ortstock,2716,538,Schwyzer Alps,Glarus Süd
Foostock/Ruchen,2611,388,Glarus Alps,Glarus Süd
Magerrain,2524,357,Glarus Alps,Glarus Süd
Mürtschenstock,2441,601,Glarus Alps,Glarus Nord
Gufelstock,2436,423,Glarus Alps,Glarus Süd
Mutteristock ( Redertenstock ),2295,745,Schwyzer Alps,Glarus
Rautispitz,2283,465,Schwyzer Alps,Glarus / Glarus Nord
Chöpfenberg,1896,465,Schwyzer Alps,Glarus Nord
