Mountain,Height ( m ),Drop ( m ),Range,District ( s )
Ringelspitz/Piz Barghis,3247,843,Glarus Alps,Sarganserland
Piz Dolf,3028,250,Glarus Alps,Sarganserland
Pizol,2844,457,Glarus Alps,Sarganserland
Haldensteiner Calanda,2805,1460,Glarus Alps,Sarganserland
Foostock/Ruchen,2611,388,Glarus Alps,Sarganserland
Magerrain,2524,357,Glarus Alps,Sarganserland
Säntis,2502,2015,Appenzell Alps,Toggenburg
Altmann,2435,313,Appenzell Alps,Toggenburg
Gamsberg,2385,1358,Appenzell Alps,Sarganserland / Werdenberg
Hinterrugg,2306,470,Appenzell Alps,Sarganserland / Toggenburg
Brisi,2279,325,Appenzell Alps,Sarganserland / Toggenburg
Speer,1951,535,Appenzell Alps,See-Gaster / Toggenburg
Furgglenfirst,1951,302,Appenzell Alps,Werdenberg
Mattstock,1936,358,Appenzell Alps,See-Gaster
Stockberg,1782,302,Appenzell Alps,Toggenburg
Tweralpspitz,1332,542,Appenzell Alps,See-Gaster / Toggenburg
Höchhand,1314,311,Appenzell Alps,See-Gaster
Wilkethöchi,1172,310,Appenzell Alps,Toggenburg
