Owner,Name,Type,Circulation
Tamedia AG,20 Minuten,Free,"329,242"
Basler Zeitung Medien,Baslerstab,Free,"194,358"
Ringier AG,Blick am Abend,Free,"284,604"
AZ Medien Gruppe,Aargauer Zeitung,Paid,"200,000"
,Appenzeller Zeitung,Paid,
,Solothurner Zeitung,Paid,
Luedin,Basellandschaftliche Zeitung,Paid,"23,500"
Basler Zeitung Medien,Basler Zeitung,Paid,"165,700"
Espace Media Groupe - Tamedia AG,Berner Zeitung,Paid,"165,700"
Gassmann AG,Bieler Tagblatt,Paid,"67,000"
Ringier,Blick,Paid,"275,000"
Tamedia AG,Der Bund,Paid,"60,399"
,Freiburger Nachrichten,Paid,
,Neue Luzerner Zeitung,Paid,"134,526"
NZZ Mediengruppe,Neue Zürcher Zeitung,Paid,"330,000"
,St. Galler Tagblatt,Paid,"101,732"
,Zürcher Oberländer,Paid,
,Limmattaler Zeitung,Paid,
Südostschweiz Mediengruppe,Die Südostschweiz,Paid,"126,697"
Tamedia,Tages Anzeiger,Paid,"216,411"
