Plant,Location,Power ( MW )
A.J . Mihm Generating Station,L'Anse,54.9
Alpine Generating Facility,Elmira,440
48th Street Generation Station,Holland,142
Belle River Power Plant,"East China Township , Michigan",256
Conners Creek Power Plant,Detroit,240
Dearborn Industrial Generation,Dearborn,710
Delray Peaking Facility,Detroit,127
Dean Peaking Station,"East China Township , Michigan",336
F.D . Kuester Generating Station,Negaunee Township,128.1
Hancock,Commerce Township,141
Holland Energy Park,Holland,130
Kalamazoo River Generating Station,Comstock,68
Kinder Morgan Power,Jackson,564
Livingston Generating Station,Gaylord,156
Marquette Energy Center,Marquette,50
Michigan Power,Ludington,123
Midland Cogeneration Venture,Midland,1560
Mistersky Gas Power Plant,Detroit,154
New Covert Generating Facility,"Covert , Michigan",1159
REO Town Cogeneration Plant,"Lansing , Michigan",110
