Name,Authors,Unit,Location,Notes
Acanthognathus poinari,"Baroni Urbani & De Andrade , 1994",Dominican amber,Dominican Republic,A trap-jaw ant
Acanthostichus hispaniolicus,"De Andrade , 1998",Dominican amber,Dominican Republic,A doryline ant
Acropyga glaesaria,"Lapolla , 2005",Dominican amber,Dominican Republic,Oldest record of trophophoresy in ants
Anochetus ambiguus,"De Andrade , 1994",Dominican amber,Dominican Republic,A ponerin ant
Anochetus brevidentatus,"MacKay , 1991",Dominican amber,Dominican Republic,A ponerin ant
Anochetus conisquamis,"De Andrade , 1994",Dominican amber,Dominican Republic,A ponerin ant
Anochetus dubius,"De Andrade , 1994",Dominican amber,Dominican Republic,A ponerin ant
Anochetus exstinctus,"De Andrade , 1994",Dominican amber,Dominican Republic,A ponerin ant
Anochetus intermedius,"De Andrade , 1994",Dominican amber,Dominican Republic,A ponerin ant
Anochetus lucidus,"De Andrade , 1994",Dominican amber,Dominican Republic,A ponerin ant
Anthophorula persephone,"Engel , 2012",Dominican amber,Dominican Republic,A bee
Aphaenogaster amphioceanica,"De Andrade , 1995",Dominican amber,Dominican Republic,A myrmicin ant
Aphaenogaster avita,"Fujiyama , 1970",Chojabaru Formation,Japan,A myrmicin ant
Aphaenogaster praerelicta,"De Andrade , 1995",Mexican amber,Mexico,A myrmicin ant
Apterostigma electropilosum,"Schultz , 2007",Dominican amber,Dominican Republic,A myrmicin fungus farming ant
Apterostigma eowilsoni,"Schultz , 2007",Dominican amber,Dominican Republic,A myrmicin fungus farming ant
Attopsis longipennis,"Heer , 1849",Radoboj,Croatia,A formicine ant
Augochlora leptoloba,"Engel , 1995",Dominican amber,Dominican Republic,A sweat bee
Dicromantispa electromexicana,"Engel & Grimaldi , 2007",Mexican Amber,Mexico,A mantidfly
Dicromantispa moronei,"Engel & Grimaldi , 2007",Dominican amber,Dominican Republic,A mantidfly
