Scientific name,Common name,Family,Conservation concern
Ophisaurus attenuatus longicaudus,eastern slender glass lizard,Anguidae,Moderate
Ophisaurus mimicus,mimic glass lizard,Anguidae,Possibly extirpated
Ophisaurus ventralis,eastern glass lizard,Anguidae,Moderate
Hemidactylus garnotii,Indo-Pacific gecko,Gekkonidae,Exotic
Hemidactylus turcicus,Mediterranean house gecko,Gekkonidae,Exotic
Anolis carolinensis carolinensis,green anole,Dactyloidae,Lowest
Anolis sagrei carolinensis,brown anole,Dactyloidae,Exotic
Phrynosoma cornutum,Texas horned lizard,Phrynosomatidae,Exotic
Sceloporus undulatus,eastern fence lizard,Phrynosomatidae,Low
Plestiodon anthracinus,coal skink,Scincidae,High
Plestiodon egregius,mole skink,Scincidae,Low/ Possibly declining
Plestiodon fasciatus,five-lined skink,Scincidae,Lowest
Plestiodon inexpectatus,southeastern five-lined skink,Scincidae,High
Plestiodon laticeps,broad-headed skink,Scincidae,Low
Scincella lateralis,ground skink little brown skink,Scincidae,Low
Cnemidophorus sexlineatus sexlineatus,eastern six-lined racerunner,Teiidae,Moderate
