Year,Game,Platform,Developer,Publisher
1993,Coaster,MS-DOS,Code To Go,"Walt Disney Computer Software , Inc"
1994,Theme Park,"MS-DOS , Amiga , 3DO , Sega Genesis , Sega CD , Amiga CD32 , Mac OS , Atari Jaguar , FM Towns , Sega Saturn , PlayStation , SNES , Nintendo DS , iOS",Bullfrog Productions,Electronic Arts
1999,RollerCoaster Tycoon,"Windows , Xbox",Chris Sawyer Productions,"Hasbro Interactive , MicroProse , Infogrames"
1999,Coaster Works,Dreamcast,"Bottom Up , Bimboosoft","Xicat Interactive , Inc"
1999,Theme Park World,"PlayStation , Windows , Mac OS , PlayStation 2",Bullfrog Productions,Electronic Arts
2000,Legoland,Windows,Krisalis,Electronic Arts
2001,NoLimits,"Windows , Mac OS X",Ole Lange,Mad Data GmbH & Co. KG
2001,Theme Park Inc,Windows,Bullfrog Productions,Electronic Arts
2001,Ultimate Ride,Windows,"Gigawatt Studios , Disney Imagineering",Disney Interactive Studios
2002,Hyper Rails,Windows,Pantera Entertainment,"Digital Steelworks , Inc"
2002,RollerCoaster Tycoon 2,Windows,Chris Sawyer Productions,Infogrames
2002,World 's Greatest Coasters 3D,Windows,Virtual Playground,Global Star Software Ltd
2003,Rollercoaster Factory,Windows,ValuSoft,ValuSoft
2004,RollerCoaster Tycoon 3,"Windows , Mac OS X , iOS",Frontier Developments,"Atari , Inc. , Aspyr Media , Frontier Developments"
2004,Rollercoaster World,"Windows , PlayStation 2",Bimboosoft,Midas Interactive Entertainment
2008,Efteling Tycoon,Windows,"Dartmoor Softworks , HexArts Entertainment",Atari Benelux
2009,AirCoaster,iOS,Ziconic,Ziconic
2011,Rollercoaster Mania,Facebook,Noisy Duck,Noisy Duck
2012,Coaster Crazy,iOS,Frontier Developments,Frontier Developments
2012,RollerCoaster Tycoon 3D,3DS,n-Space,"Atari , Inc"
