Organism strain,Family,Relevance,Genome size,Year of completion
Setaria italica ( Foxtail millet ),Poaceae,Model of C4 metabolism,,2012
Aegilops tauschii ( Tausch 's goatgrass ),Poaceae,bread wheat D-genome progenitor,ca 4.36 Gb,2017
Brachypodium distachyon ( purple false brome ),Poaceae,Model monocot,,2010
Coix lacryma-jobi L. ( Job 's tears ),Poaceae,Crop & used in medicine & ornamentation,1.619 Gb,2019
Dichanthelium oligosanthes ( Heller 's rosette grass ),Poaceae,C3 grass closely related to C4 species,960 Mb,2016
Eragrostis curvula,Poaceae,good for livestock,43.31 Mb,2019
Hordeum vulgare ( barley ),Poaceae,Model of ecological adoption,,"2012 , 2017"
Oryza brachyantha ( wild rice ),Poaceae,Disease resistant wild relative of rice,,2013
Oryza glaberrima ( African rice ) var CG14,Poaceae,West-African species of rice,,2010
Oryza rufipogon ( red rice ),Poaceae,Ancestor to Oryza sativa,406 Mb,2012
Oryza sativa ( long grain rice ) ssp indica,Poaceae,Crop and model cereal,430 Mb,2002
Oryza sativa ( Short grain rice ) ssp japonica,Poaceae,Crop and model cereal,430 Mb,2002
Panicum virgatum ( switchgrass ),Poaceae,biofuel,,2013 ?
Phyllostachys edulis ( moso bamboo ),Poaceae,Bamboo textile industry,79.90 Mb,2013 2018
Sorghum bicolor genotype BTx623,Poaceae,Crop,ca 730 Mb,2009
Triticum aestivum ( bread wheat ),Poaceae,20% of global nutrition,14.5 Gb,2018
Triticum urartu,Poaceae,Bread wheat A-genome progenitor,ca 4.94 Gb,2013
Zea mays ( maize ) ssp mays B73,Poaceae,Cereal crop,2.3 Gb,2009
Pennisetum glaucum ( pearl millet ),Poaceae,Subsaharian and Sahelian millet species,"~1,79 Gb",2017
