Caliber ( mm ),Weapon name,Country of origin,Design
88,9 cm Kanone C/79,German Empire,1879- World War I
107,42-line siege gun M1877,Russian Empire,Russo-Japanese War
120,12-cm Kanone M 80,Austria-Hungary,World War I
120,Canon de 120 mm modèle 1878,France,World War I / World War II
120,12 cm Kanone C/80,German Empire,World War I
120,Obusier de 120 mm modèle 1890,France,World War I
149.1,15 cm Kanone M 80,Austria-Hungary,World War I
149.1,15 cm Ring Kanone C/72,German Empire,World War I
149.1,15 cm Ring Kanone C/92,German Empire,World War I
149.1,15 cm Ring Kanone L/30,German Empire,World War I
149.1,Type 96 15 cm cannon,Japan,World War II
152.4,6 inch siege gun M1877,Russian Empire,World War I
152.5,BLC 6 inch siege gun,United Kingdom,1902 - 1915
152.4,6 inch siege gun M1904,Russian Empire,World War I
152.4,152 mm siege gun M1910,Russian Empire,World War I
152.4,Cannone da 152/45,Italy,World War I / World War II
155,De Bange 155 mm cannon,France,World War I
155,Obusier de 155 mm C modèle 1881,France,World War I
155,Obusier de 155 mm C modèle 1890,France,World War I
180,18 cm kurze Kanone M 80,Austria-Hungary,World War I
