Club,League/Division,Lvl,State,City
Cairnlea,Victorian State League Division 2,5,Victoria,Melbourne
Cairns FC,National Premier Leagues Queensland,2,Queensland,Cairns
Camden Tigers,National Premier Leagues NSW 4,5,New South Wales,Sydney
Campbellfield Lions,Victorian State League Division 5,8,Victoria,Melbourne
Campbelltown City,National Premier Leagues South Australia,2,South Australia,Adelaide
Canberra City,State League Division 2,5,Australian Capital Territory,Canberra
Canberra FC,National Premier Leagues Capital Football,2,Australian Capital Territory,Canberra
Canberra Olympic FC,National Premier Leagues Capital Football,2,Australian Capital Territory,Canberra
Canberra White Eagles,Capital League,3,Australian Capital Territory,Canberra
Canning City,Football West State League Division 1,3,Western Australia,Perth
Capalaba,Football Queensland Premier League,3,Queensland,Brisbane
Casey Comets,Victorian State League Division 1,4,Victoria,Melbourne
Casey Panthers,Victorian State League Division 5,8,Victoria,Melbourne
Casuarina,NorZone Premier League,2,Northern Territory,Darwin
Caulfield United Cobras,Victorian State League Division 2,5,Victoria,Melbourne
Cessnock City Hornets,Northern NSW State League Division 1,3,New South Wales,Cessnock
Charlestown City Blues,National Premier Leagues Northern NSW,2,New South Wales,Lake Macquarie
Chelsea,Victorian State League Division 5,8,Victoria,Melbourne
Clarence United,National Premier Leagues Tasmania,2,Tasmania,Hobart
Clifton Hill,Victorian State League Division 1,4,Victoria,Melbourne
