Artist,Song Title,UK
Bananarama,I Heard a Rumour,Yes
Bonnie Tyler,Total Eclipse of the Heart,Yes
Bucks Fizz,Making Your Mind Up,Yes
Candi Staton,Young Hearts Run Free,Yes
Charlene,I 've Never Been to Me,Yes
Charlotte Church,Crazy Chick,Yes
Cher,If I Could Turn Back Time,Yes
Dead or Alive,You Spin Me Round ( Like a Record ),Yes
Girls Aloud,Biology,Yes
Gloria Gaynor,I Will Survive,Yes
Kim Wilde,Kids in America,Yes
LeAnn Rimes,Ca n't Fight the Moonlight,Yes
The Pussycat Dolls,Do n't Cha,Yes
Queen,Radio Ga Ga,Yes
Scissor Sisters,Laura,Yes
Steps,Deeper Shade of Blue,Yes
Take That ( featuring Lulu ),Relight My Fire,Yes
Ultra Naté,Free,Yes
The Weather Girls,It 's Raining Men,Yes
Whitney Houston,I Wan na Dance with Somebody ( Who Loves Me ),Yes
