Title,Year,Genre,Discipline,Notes
Gateway of the Caucasus,1931,Documentary,Mountain Climbing,An intrepid band of climbers make it their goal in life to scale the lofty Kazbak and to return from same safely
The White Tower,1950,Drama,Mountain Climbing,"In the Swiss Alps , a woman is determined to make a climb where her father was killed"
Third Man on the Mountain,1959,Drama,Mountain Climbing,A Walt Disney tale of a Swiss man 's perilous experience on the Citadel
The EIger Sanction,1975,Drama,Mountain Climbing,A fictional thriller about a paid assassin ( Clint Eastwood ) on a treacherous Eiger climb
K2,1991,Biographical Drama,Mountain Climbing,"Loosely based on real events , a pair of weekend-climber Americans join a team scaling the second-highest peak on Earth"
Vertical Limit,2000,Drama,Mountain Climbing,A retired climber 's sister makes an attempt to reach the top of K2
Touching the Void,2003,Documentary,Mountain Climbing,True story about a harrowing 1985 expedition in the Andes
To the Limit,2007,Documentary,Rock Climbing,A German-made documentary chronicling an adventure in Yosemite National Park
The Climb,2007,Documentary,Mountain Climbing,A Canadian returns to Mount Everest 25 years after a life-altering experience there
North Face,2008,Drama,Mountain Climbing,Based on a 1936 climb up the Eiger 's north face that ended disastrously
The Wildest Dream,2010,Documentary,Mountain Climbing,The famed George Mallory 's 1924 disappearance from Mount Everest is recounted
The Summit,2012,Documentary,Mountain Climbing,An account of the lives impacted by the 2008 K2 disaster
Everest,2015,Drama,Mountain climbing,Story of the 1996 Mount Everest disaster
Meru,2015,Documentary,Mountain climbing,"Chronicles the first ascent of The Shark 's Fin , a famously difficult route to the summit of Meru Peak in the Indian Himalayas"
Poorna : Courage Has No Limit,2017,Biographical,Mountain climbing,"Hindi-language film about Malavath Purna , a girl from a tribal background in South India who became the youngest girl to reach the summit of Mount Everest"
Free Solo,2018,Documentary,Rock climbing,"A chronicle of Alex Honnold 's 2017 ascent of El Capitan , the first ever accomplished as a free solo . Oscar for Best Documentary Feature"
