Years,Name,Location,Pinnacle height,Floor count ( if applicable ),Structure type
1841-1874,Notre-Dame Basilica,"Montreal , Quebec",200 ft ( 61 m ),n/a,Church bell tower
1874-1899,St. James Cathedral,"Toronto , Ontario",305 ft ( 93 m ),n/a,Church bell tower
1899-1917,Old City Hall,"Toronto , Ontario",340 ft ( 100 m ),n/a,City Hall clock tower
1917-1928,INCO Port Colborne Nickel Smelter Chimney # 1,"Port Colborne , Ontario",350 ft ( 110 m ),n/a,Smokestack
1928-1929,Tour de la Banque Royale,"Montreal , Quebec",397 ft ( 121 m ),22,Building
1929,Fairmont Royal York Hotel,"Toronto , Ontario",407 ft ( 124 m ),28,Building
1929-1952,"INCO Nickel Smelter , Brick Chimney","Sudbury , Ontario",500 ft ( 152 m ),n/a,Smokestack
1936-1952,"INCO Copper Smelter , Stack","Sudbury , Ontario",500 ft ( 152 m ),n/a,Smokestack
1937-1952,INCO Port Colborne Nickel Smelter Chimney # 2,"Port Colborne , Ontario",500 ft ( 152 m ),n/a,Smokestack
1952-1954,CBC Jarvis St. Tower,"Toronto , Ontario",540 ft ( 160 m ),n/a,Lattice tower
1954-1967,"INCO Copper Cliff Nickel Refinery ( formerly Copper Cliff Iron Ore Recovery Plant ) , Stack","Sudbury , Ontario",637 ft ( 194 m ),n/a,Smokestack
1967-1972,Toronto-Dominion Centre,"Toronto , Ontario",731 ft ( 223 m ),56,Skyscraper
1972-1976,Inco Superstack,"Sudbury , Ontario","1,247 ft ( 380 m )",n/a,Smokestack
1976-present,CN Tower,"Toronto , Ontario","1,815 ft ( 553 m )",n/a,Tower
