Title,Years,Network
PostModern MTV,1980s-1990s,MTV
Profiles in Rock,1982,MTV
Headbangers Ball,1987-1995 2003-2012,MTV MTV2
Remote Control,1987-1990,MTV Syndication
MTV Unplugged,1989-present,MTV
Liquid Television,1991-1994,MTV BBC Two
Real World,1992-present,MTV
Beavis and Butt-Head,1993-1997 2011,MTV
The Jon Stewart Show,1993-1995,MTV/ Syndication
The Brothers Grunt,1994-1995,MTV
MTV 's Oddities,1994-1996,MTV
Æon Flux,1995,MTV
Singled Out,1995-1998,MTV
VH1 Storytellers,1996-present,VH1
Daria,1997-2002,MTV
The Jenny McCarthy Show,1997,MTV
Behind the Music,1997-present,VH1
Cartoon Sushi,1997-1998,MTV
Jenny,1997-1998,NBC
BIOrhythm,1998,MTV
