Call letters,Channel,Network ( s ),City and state
KOAA-TV,42 PSIP/cable 5,NBC,"Pueblo , Colorado"
KOAB-TV,11 PSIP 3,PBS,"Bend , Oregon"
KOAC-TV,7 PSIP 7,PBS,"Corvallis , Oregon"
KOAM-TV,7 PSIP 7,CBS,"Pittsburg , Kansas"
KOAT-TV,7 PSIP 7,ABC,"Albuquerque , New Mexico"
KOB,26 PSIP 4,4.1 NBC 4.2 This TV,"Albuquerque , New Mexico"
KOBF,12 PSIP 12,12.1 NBC 17.2 This TV,"Farmington , New Mexico"
KOBI,5 PSIP 5,NBC,"Medford , Oregon"
KOBR,8 PSIP 8,8.1 NBC 8.2 This TV,"Roswell , New Mexico"
KOCB,33 PSIP 34,The CW,"Oklahoma City , Oklahoma"
KOCE-TV,48 PSIP 50,50.1 PBS 48.2 OC Channel,"Huntington Beach , California"
KOCM,16 PSIP 46,Daystar,"Norman , Oklahoma"
KOCO-TV,7 PSIP 5,5.1 ABC 7.2 MeTV,"Oklahoma City , Oklahoma"
KOCW,14 PSIP 14,Fox,"Hoisington , Kansas"
KODE-TV,23 PSIP/cable 12,ABC,"Joplin , Missouri"
KOED-TV,11 PSIP 11,PBS,"Tulsa , Oklahoma"
KOET,31 PSIP 3,PBS,"Eufaula , Oklahoma"
KOFY-TV,19 PSIP 20,20.1 Independent 20.2 MeTV 20.3 VieTV 20.4 VietFace TV,"San Francisco , California"
KOGG,16 PSIP 15,NBC,"Wailuku , Hawaii"
KOHD,18 PSIP 51,ABC,"Bend , Oregon"
