City/town,Municipality,County,City/town status,Population
Arendal,Arendal,Agder,1723,"39,826"
Bergen,Bergen,Vestland,1070,"278,121"
Bodø,Bodø,Nordland,1816,"46,049"
Drammen,Drammen,Viken,1811,"64,597"
Egersund,Eigersund,Rogaland,1798,"13,418"
Farsund,Farsund,Agder,1795,"9,392"
Flekkefjord,Flekkefjord,Agder,1842,"8,918"
Florø,Flora,Vestland,1860,"8,296"
Fredrikstad,Fredrikstad,Viken,1567,"80,977"
Gjøvik,Gjøvik,Innlandet,1861,"27,500"
Grimstad,Grimstad,Agder,1816,"19,809"
Halden,Halden,Viken,1665,31 037
Hamar,Hamar,Innlandet,1248,"31,593"
Hammerfest,Hammerfest,Troms og Finnmark,1789,"9,261"
Harstad,Harstad,Troms og Finnmark,1904,"23,242"
Haugesund,Haugesund,Rogaland,1854,"31,738"
Holmestrand,Holmestrand,Vestfold og Telemark,1752,"9,515"
Horten,Horten,Vestfold og Telemark,1858,"24,671"
Hønefoss,Ringerike,Viken,1852,"13,930"
Kongsberg,Kongsberg,Viken,1624,"23,997"
