Rank,Name,Capacity ( MW ),Province,Owner,Year
1,Seigneurie de Beaupré,363.5,Quebec,Boralex ( 50% ) Gaz Métro ( 46.8% ) La Côte-de-Beaupré ( 3.2% ),2013
2,Rivière-du-Moulin,350,Quebec,EDF Renewables,2014
3,Blackspring Ridge,300,Alberta,EDF Renewables Enbridge,2014
3,Henvey Inlet,300,Ontario,Pattern Energy Nigig Power,2019
3,Lac Alfred,300,Quebec,EDF Renewables Enbridge,2013
6,Niagara Region,230,Ontario,Boralex Enercon SNGRDC,2016
7,Gros-Morne,211.5,Quebec,Cartier Wind Energy,2011
8,Amaranth,199.5,Ontario,TransAlta,2008
9,Wolfe Island,197,Ontario,Canadian Hydro Developers,2009
10,Prince Township,189,Ontario,Brookfield Power,2006
11,Meikle,184.6,British Columbia,Pattern Energy PSP Investments,2016
12,Underwood,181.5,Ontario,Enbridge,2009
13,Armow,180,Ontario,Pattern Energy,2015
14,Kent Hills,167,New Brunswick,TransAlta,2008
15,Comber,165.6,Ontario,Brookfield Renewable Power,2012
16,Centennial,150,Saskatchewan,SaskPower,2006
16,Massif du Sud,150,Quebec,EDF Renewables Enbridge,2013
18,Halkirk,149.4,Alberta,Capital Power,2012
19,Dokie Ridge,144,British Columbia,Axium Infrastructure GE Power Innergex Renewable Energy,2011
20,Quality,142.2,British Columbia,Capital Power,2012
