Year,Athlete,Country/State,Time,Notes
1975,"Hall , Robert Robert Hall",United States United States ( MA ),2:58:00,
1976,zzz None,N/A,N/A,N/A
1977,"Hall , Robert Robert Hall",United States United States ( MA ),2:40:10,2nd victory
1978,"Murray , George George Murray",United States United States ( FL ),2:26:57,
1979,"Archer , Ken Ken Archer",United States United States ( OH ),2:38:59,
1980,"Brinkman , Curt Curt Brinkman",United States United States ( UT ),1:55:00,
1981,"Martinson , Jim Jim Martinson",United States United States ( WA ),2:00:41,
1982,"Knaub , Jim Jim Knaub",United States United States ( CA ),1:51:31,
1983,"Knaub , Jim Jim Knaub",United States United States ( CA ),1:47:10,2nd victory
1984,André Viger,Canada,2:05:20,
1985,"Murray , George George Murray",United States United States ( FL ),1:45:34,2nd victory
1986,André Viger,Canada,1:43:25,2nd victory
1987,André Viger,Canada,1:55:42,3rd victory
1988,Mustapha Badid,France,1:43:19,
1989,Philippe Couprie,France,1:36:04,
1990,Mustapha Badid,France,1:29:53,2nd victory
1991,"Knaub , Jim Jim Knaub",United States United States ( CA ),1:30:44,3rd victory
1992,"Knaub , Jim Jim Knaub",United States United States ( CA ),1:26:28,4th victory
1993,"Knaub , Jim Jim Knaub",United States United States ( CA ),1:22:17,5th victory
1994,Heinz Frei,Switzerland,1:21:23,
