Name of script,Type,Number of characters,Population actively using ( in millions ),Languages associated with,Regions with predominant usage
Latin Latin,Alphabet,23 ( classical ),6120+,"Latin and Romance languages ( Italian , French , Franco-Provençal , Occitan , Catalan , Portuguese , Galician , Spanish , Rhaeto-Romance languages , Sardinian and Romanian ) , Germanic languages ( English , Dutch , German , Nordic languages ) , Chinese ( Mandarin Pinyin ) , Austronesian languages ( Indonesian , Filipino , Malay , Polynesian languages ) , West and Southwest Slavic languages ( including Polish ) , Baltic languages ( Latvian and Lithuanian ) , Niger-Congo languages ( including Swahili , Yoruba , and Zulu ) , Turkish , Somali , Albanian , Vietnamese , Hungarian , Maltese , Finnic ( including Estonian and Finnish ) and Sami languages , others",Worldwide
Chinese 汉字 漢字,Logographic,"> 50,000",1340,"Mandarin , Yue , Wu , Gan , Min , Hakka , Xiang , Jin , Pinghua , Huizhou and other Chinese languages ( Chinese characters ) , Japanese ( Kanji ) , Korean ( Hanja ) , Vietnamese ( Chu Nom ) , Zhuang ( Sawndip ) , Okinawan ( Okinawan ) , Mulam","China , Taiwan , Singapore , Malaysia ( Chinese Malaysians ) , Japan , South Korea , Indonesia ( Chinese Indonesians ) , Hong Kong"
Devanagari देवनागरी,Abugida,44,820+,"Angika , Awadhi , Bhili , Bhojpuri , Bodo , Chhattisgarhi , Dogri , Haryanvi , Hindi , Kashmiri , Konkani , Magahi , Maithili , Marathi , Mundari , Nepali , Newar , Pali , Rajasthani , Sanskrit , Santali , Sindhi , others","India ( native in Hindi Belt , Goa , Maharashtra ) , Nepal"
Arabic العربية,Abjad,28,660+,"Arabic , Persian , Urdu , Punjabi , Pashto , Sindhi , Balochi , Malayan ( Jawi ) , Acehnese ( Jawi ) , Uyghur , Kazakh ( in China ) , Kurdish , Azeri ( in Iran ) , Javanese ( Pegon ) , Sundanese ( Pegon ) , others","Middle East and North Africa , Pakistan , India ( 7 states ) , China ( Xinjiang ) , Brunei ( co-official with Latin ) , Malaysia , Indonesia ( religious uses only )"
Bengali-Assamese script,Abugida,52,300,"Sanskrit , Bengali , Assamese , Kokborok , Bishnupriya Manipuri , Khasi , Meitei Manipuri , Hajong , Chakma , Maithili ( historical use ) , Angika ( historical use ) , Sylheti and others","Bangladesh , and India ( West Bengal , Mizoram , Jharkhand , Tripura , Assam , Manipur , Meghalaya , Andaman and Nicobar Islands )"
Cyrillic Кирилица,Alphabet,33 ( Russian ),250,"Bulgarian , Russian , Serbian , Ukrainian , Macedonian , Belarusian , Kazakh , others","Eastern Europe , Central Asia and Mongolia , the Russian Far East"
Kana かな カナ,Syllabary,46,120,"Japanese , Okinawan , Ainu , Palauan , other Japonic languages",Japan
Javanese ꦗꦮ,Abugida,53,80,"Javanese , Cirebonese , Madurese , Sundanese","Indonesia ( Central Java , East Java , Special Region of Yogyakarta , Cirebon , Cirebon Regency , Indramayu Regency ) , Javanese diaspora"
Chosŏn'gŭl/Hangul 한글 조선글,"Alphabet , featural",24,78.7,"Korean , Cia-Cia , Jeju","North Korea , South Korea , and Yanbian Korean Autonomous Prefecture of China , Indonesia ( Baubau )"
Telugu తెలుగు,Abugida,60,74,"Telugu , Sanskrit , Gondi","Andhra Pradesh , Telangana , Puducherry ( India )"
Tamil தமிழ்,Abugida,30,70,"Tamil , Kanikkaran , Badaga , Irula , Paniya","Tamil Nadu ( India ) , Puducherry ( India ) , Sri Lanka , Singapore , Malaysia , Mauritius"
Gujarati ગુજરાતી,Abugida,47,48,"Gujarati , Kutchi , Avestan , Bhili , Bhilori , Gamit , Chowdhary , Kukna , Bhili , Varli , Vasavi","India , Pakistan"
Kannada ಕನ್ನಡ,Abugida,51 ( or 50 or 49 ),45,"Kannada , Tulu , Kodava , Badaga , Beary , Sanketi , Konkani , Sanskrit",Karnataka ( India )
Burmese မြန်မာ,Abugida,26,39,"Burmese , Pali , Sanskrit",Myanmar
Malayalam മലയാളം,Abugida,51,38,"Malayalam , Sanskrit , Paniya , Betta Kurumba , Ravula","Kerala , Puducherry ( India )"
Thai ไทย,Abugida,68,38,"Thai , Northern Thai , Southern Thai , Northern Khmer , and Isan , Kelantan-Pattani Malay , Pali , Sanskrit , others",Thailand
Sundanese ᮞᮥᮔ᮪ᮓ,Abugida,44,38,"Sundanese , Bantenese , Baduy",West Java and Banten ( Indonesia )
Zhuyin Fuhao ( a.k.a . Bopomofo ) ㄅㄆㄇㄈ ㄓㄨㄧㄣ ㄈㄨˊㄏㄠˋ,"Alphabet , Semisyllabary",37 ( plus four tone marks ),23,"A phonetic transcription system used in Taiwan for Mandarin Chinese , studied mainly by schoolchildren",Taiwan
Gurmukhi ਗੁਰਮੁਖੀ,Abugida,35,22,"Sanskrit , Punjabi , Sant Bhasha , Sindhi",Punjab ( India )
Odia ଉତ୍କଳ,Abugida,64,21,"Odia , others",Odisha ( India )
