Year,Artist,Title,Certification,Weeks on chart,Weeks at number one
1975,Freddy Fender,Before the Next Teardrop Falls,,35,0
1976,ABBA,Fernando,,32,9
1977,Heatwave,Boogie Nights,,21,7
1978,Boney M,Rivers of Babylon,,26,14
1979,Blondie,Heart of Glass,,23,4
1980,Ritz,Locomotion,,19,7
1981,Stars on 45,Stars on 45,,18,7
1982,Toots and the Maytals,Beautiful Woman,,24,5
1983,New Order,Blue Monday,,32,0
1984,Patea Maori Club,Poi E,,22,4
1985,USA For Africa,We Are the World,Platinum,14,7
1986,All of Us,Sailing Away,Platinum,31,9
1987,Pseudo Echo,Funky Town,Gold,19,6
1988,Holidaymakers,Sweet Lovers,Gold,22,6
1989,Simply Red,If You Do n't Know Me by Now,Gold,16,5
1990,MC Hammer,U Ca n't Touch This,Gold,29,6
1991,Bryan Adams,( Everything I Do ) I Do It for You,Platinum,14,8
1992,Billy Ray Cyrus,Achy Breaky Heart,Platinum,15,6
1993,UB40,( I Ca n't Help ) Falling in Love with You,Platinum,23,11
1994,Wet Wet Wet,Love Is All Around,Platinum,23,4
