Medal,Name,Sport,Event
Gold,Aldona Grigaliūnienė,Athletics,Women 's Long jump F34-37
Gold,Malda Baumgartė,Athletics,Women 's Discus trhow F41
Gold,Malda Baumgartė,Athletics,Women 's Shot put F41
Silver,Kęstutis Bartkėnas,Athletics,Men 's 5000 m T11
Silver,Vytautas Girnius,Athletics,Men 's Javelin throw F10
Bronze,Saulius Leonavičius,Athletics,Men 's 1500 m T11
Bronze,Kęstutis Bartkėnas,Athletics,Men 's 10000 m T11
Bronze,Rolandas Urbonas,Athletics,Men 's Shot put F12
Bronze,Sigita Markevičienė,Athletics,Women 's 800 m T10-11
Bronze,Sigita Markevičienė,Athletics,Women 's 1500 m T10-11
Bronze,Jonas Stoskus,Judo,Men 's 78 kg
