Date,Co-Hosts,Guests/Segments
January 3,Regis Philbin & Kelly Ripa,"Michelle Williams , Brad Womack , Happy New You Week"
January 4,Regis Philbin & Kelly Ripa,"Gwyneth Paltrow , Paula Abdul , Happy New You Week"
January 5,Regis Philbin & Kelly Ripa,"Kevin Spacey , Happy New You Week"
January 6,Regis Philbin & Kelly Ripa,"Roseanne Barr ; Ronnie Ortiz-Magro , Paul DelVecchio & Vinny Guadagnino , Happy New You Week"
January 7,Kelly Ripa & Neil Patrick Harris,"Matt LeBlanc , Garrett Hedlund , Happy New You Week"
January 10,Regis Philbin & Kelly Ripa,"Seth Meyers , Suzanne Somers , Jennifer Connelly"
January 11,Regis Philbin & Kelly Ripa,"Seth Rogen , Leighton Meester"
January 12,Regis Philbin & Kelly Ripa,"Vince Vaughn , Minnie Driver"
January 13,Regis Philbin & Kelly Ripa,"Kevin James , Patti Stanger"
January 14,Kelly Ripa & Randy Jackson,"George Stephanopoulos , Ginnifer Goodwin"
January 17,Regis Philbin & Kelly Ripa,"David Duchovny , Kathy Bates"
January 18,Regis Philbin & Kelly Ripa,"Steven Tyler , Angie Dickinson , Leo Laporte gives Regis and Kelly a tech lesson with the coolest gadgets"
January 19,Regis Philbin & Kelly Ripa,"Kourtney & Kim Kardashian , Joan & Melissa Rivers , The Script"
January 20,Regis Philbin & Kelly Ripa,"Martin Short , Olivia Munn"
January 21,Kelly Ripa & Ashton Kutcher,"Jason Statham , Buddy Valastro"
January 24,Kelly Ripa & Cory Fitzner,Anthony Hopkins
January 25,Kelly Ripa & Jeff Mauler,Alan Cumming
January 26,Kelly Ripa & Bobby Bones,"Kyle Richards , Rico Rodriguez"
January 27,Kelly Ripa & Eric Ferguson,"Kelsey Grammer , Mark Feuerstein"
January 28,Kelly Ripa & Mike Catherwood,"Brooke Shields , Bryan Adams"
