Date,Co-hosts,Guests/segments
February 1,Regis Philbin & Kelly Ripa,Jeff Probst
February 2,Regis Philbin & Kelly Ripa,Bette Midler
February 3,Regis Philbin & Kelly Ripa,Sean Paul
February 6,Regis Philbin & Kelly Ripa,"Roseanne Barr , Dancing with the Stars castoffs , Wedding Week"
February 7,Regis Philbin & Kelly Ripa,"Harrison Ford , Rachel Bilson , Wedding Week"
February 8,Regis Philbin & Kelly Ripa,"Josh Holloway , Collective Soul , Wedding Week"
February 9,Regis Philbin & Kelly Ripa,"Nicollette Sheridan , Wedding Week"
February 10,Regis Philbin & Kelly Ripa,LIVE 's Wedding 2006
February 13,Regis Philbin & Kelly Ripa,Diddy
February 14,Regis Philbin & Kelly Ripa,"Edie Falco , Harry Connick Jr"
February 15,Regis Philbin & Kelly Ripa,"Julianne Moore , INXS"
February 16,Regis Philbin & Kelly Ripa,Joan Rivers
February 17,Regis Philbin & Kelly Ripa,Simon Cowell
February 20,Regis Philbin & Kelly Ripa,Cuba Gooding Jr
February 22,Regis Philbin & Kelly Ripa,"Matthew Fox , Heidi Klum"
February 23,Regis Philbin & Kelly Ripa,"Jimmy Fallon , Tyler Perry"
February 24,Regis Philbin & Kelly Ripa,"Whoopi Goldberg , Lynn Whitfield"
February 27,Regis Philbin & Kelly Ripa,"Donald Trump , Roger Ebert , Ray J"
February 28,Regis Philbin & Kelly Ripa,"LIVE ! in Los Angeles , Howie Mandel , Eva Longoria , a visit to the American Idol set"
