Date,Co-Hosts,Guests/Segments
February 1,Regis Philbin & Kelly Ripa,Jonathan Rhys Meyers
February 2,Regis Philbin & Kelly Ripa,Jesse Tyler Ferguson and Vanessa Williams
February 3,Regis Philbin & Kelly Ripa,Jessica Alba and Channing Tatum
February 4,Regis Philbin & Kelly Ripa,"Michael Strahan , John Travolta , and Project Ack Ack"
February 5,Regis Philbin & Kelly Ripa,"Robin Thicke , Pierce Brosnan , Project Ack Ack , and Fitness Friday"
February 8,Regis Philbin & Kelly Ripa,"Bill Paxton , Project Ack Ack , and Inside the Chef 's Kitchen - Chocolate Challenge"
February 9,Regis Philbin & Kelly Ripa,"Rosario Dawson , Project Ack Ack , and Inside the Chef 's Kitchen - Chocolate Challenge"
February 10,Regis Philbin & Kelly Ripa,"Jennifer Garner , Ruby Gettinger , Project Ack Ack and Inside the Chef 's Kitchen - Chocolate Challenge"
February 11,Regis Philbin & Kelly Ripa,Kim Kardashian and Inside the Chef 's Kitchen - Chocolate Challenge
February 12,Regis Philbin & Kelly Ripa,"Jessica Biel , Inside the Chef 's Kitchen - Chocolate Challenge , and Fitness Friday"
February 15,Regis Philbin & Kelly Ripa,"Reggie Bush , Taye Diggs , Corbin Bleu , Project Ack Ack , and Regis & Kelly 's Crash Course"
February 16,Regis Philbin & Kelly Ripa,"Nicole Richie , Regis & Kelly 's Crash Course , and Daytona 500 Winner"
February 17,Regis Philbin & Kelly Ripa,"Lauren Fix , Michelle Williams , Christoph Waltz , and Regis & Kelly 's Crash Course"
February 18,Regis Philbin & Kelly Ripa,"Sir Ben Kingsley , Shenae Grimes , and Regis & Kelly 's Crash Course"
February 19,Regis Philbin & Kelly Ripa,"Ewan McGregor , Regis & Kelly 's Crash Course , and Fitness Friday"
February 22,Regis Philbin & Kelly Ripa,"Ethan Hawke , Shaun White , and Coast to Coast Makeovers"
February 23,Regis Philbin & Kelly Ripa,Diane Sawyer and Coast to Coast Makeovers
February 24,Regis Philbin & Kelly Ripa,"Jeffrey Donovan , Joan Rivers , and Coast to Coast Makeovers"
February 25,Regis Philbin & Kelly Ripa,Bruce Willis and Coast to Coast Makeovers
February 26,Regis Philbin & Kelly Ripa,"Maggie Gyllenhaal , Coast to Coast Makeovers , and Fitness Friday"
