Camp name,Council,Location,Status
Albright Scout Reservation,Heart of Virginia,Chesterfield,Active
Blue Ridge Mountain Reservation,Blue Ridge Mountain Council,Hiwassee,Active
Camp Baird ( Lenhok'sin Program ),National Capital Area Council,Goshen,Active
Camp Bowman,National Capital Area Council,Goshen,Active
Camp Brady Saunders,Heart of Virginia,Goochland,Active
Camp Eagle Point,Heart of Virginia,Boydton,Active
Camp Marriott,National Capital Area Council,Goshen,Active
Camp Ottari,Blue Ridge Mountain Council,"Hiwassee , Virginia",Active
Camp Powhatan,Blue Ridge Mountain Council,"Hiwassee , Virginia",Active
Camp Rock Enon,Shenandoah Area Council,Gore,Active
Camp Ross,National Capital Area Council,Goshen,Active
Camp S. Douglas Fleet,Heart of Virginia,Richmond,Active
Camp Shenandoah,Stonewall Jackson Area Council,Swoope,Active
