Season,Team,Points/Pts%,Playoff result
2018-19,Charlotte Checkers,.724% ( 110 points ),Won Calder Cup
2017-18,Toronto Marlies,.737% ( 112 points ),Won Calder Cup
2016-17,Wilkes-Barre/Scranton Penguins,.704% ( 107 points ),Lost Division Semifinals ( PRO )
2015-16,Toronto Marlies,.750% ( 114 points ),Lost Conference Finals ( HER )
2014-15,Manchester Monarchs,109,Won Calder Cup
2013-14,Texas Stars,106,Won Calder Cup
2012-13,Providence Bruins,105,Lost Conference Semifinals ( WBS )
2011-12,Norfolk Admirals,113,Won Calder Cup
2010-11,Wilkes-Barre/Scranton Penguins,117,Lost Division Finals ( CHA )
2009-10,Hershey Bears,123,Won Calder Cup
2008-09,Manitoba Moose,107,Lost Calder Cup Finals ( HER )
2007-08,Providence Bruins,117,Lost Division Finals ( POR )
2006-07,Hershey Bears,114,Lost Calder Cup Finals ( HAM )
2005-06,Grand Rapids Griffins,115,Lost Conference Finals ( MIL )
2004-05,Rochester Americans,112,Lost Division Finals ( MTB )
2003-04,Milwaukee Admirals,102,Won Calder Cup
2002-03,Hamilton Bulldogs,110,Lost Calder Cup Finals ( HOU )
2001-02,Bridgeport Sound Tigers,98,Lost Calder Cup Finals ( CHI )
2000-01,Worcester IceCats,108,Lost Division Finals ( PRO )
1999-00,Hartford Wolf Pack,107,Won Calder Cup
