#,Mayor,Term start,Term end,
1,Dudley Sanford Gregory,April 1838,April 1840,Whig
2,Peter McMartin,April 1840,April 1841,Unknown
3,Dudley Sanford Gregory,April 1841,April 1842,Whig
4,Thomas A. Alexander,April 1842,April 1843,Unknown
5,Peter Bentley,April 1843,April 1844,Democratic
6,Phineas Cook Dummer,April 1844,"April 20 , 1848",Whig
7,Henry Taylor,"April 21 , 1848","April 18 , 1850",Whig
8,Robert Gilchrist,"April 19 , 1850","May 2 , 1852",Whig
9,David Stout Manners,"May 3 , 1852","May 3 , 1857",Whig
10,Samuel Wescott,"May 4 , 1857","May 2 , 1858",Democratic
11,Dudley Sanford Gregory,"May 3 , 1858","May 6 , 1860",Republican
12,Cornelius Van Vorst,"May 7 , 1860","May 4 , 1862",Democratic
13,John B. Romar,"May 5 , 1861","May 1 , 1864",Democratic
14,Orestes Cleveland,"May 2 , 1864","May 5 , 1867",Democratic
15,James Gopsill,"May 6 , 1867","May 3 , 1868",Republican
16,Charles H. O'Neill,"May 4 , 1868","April 10 , 1869",Democratic
17,William Clarke,"April 11 , 1869","May 1 , 1870",Democratic
18,Charles H. O'Neill,"May 2 , 1870","May 3 , 1874",Democratic
19,Henry Traphagen,"May 4 , 1874","April 30 , 1876",Democratic
20,Charles Siedler,"May 1 , 1876","May 5 , 1878",Republican
