Frequency,Call sign,Branding,Format,Owner,Notes
580 AM,CKWW,AM 580,oldies,Bell Media Radio,
800 AM,CKLW,AM 800,news/ talk,Bell Media Radio,
1550 AM,CBEF,Ici Radio-Canada Première,news/ talk,Société Radio-Canada,French
88.7 FM,CIMX-FM,89X,modern rock,Bell Media Radio,
89.9 FM,CBE-FM,CBC Music,public music,Canadian Broadcasting Corporation,
90.5 FM,CJAH-FM,UCB Radio 90.5FM,Christian music,United Christian Broadcasters Canada ( UCB ),"Positive , Uplifting Radio"
93.9 FM,CIDR-FM,93.9 The River,adult contemporary,Bell Media Radio,
95.9 FM,CJWF-FM,Country 95-9,country,Blackburn Radio,"formerly Windsor 's FM 95-9 prior to the rebranding on September 7 , 2010"
96.7 FM,CHYR-FM,Mix 96.7,Hot AC,Blackburn Radio,"Broadcasts from Leamington , Ontario"
97.5 FM,CBEW-FM,CBC Radio One,news/ talk,Canadian Broadcasting Corporation,
99.1 FM,CJAM-FM,CJAM 99.1,campus radio,University of Windsor,"formerly on 91.5 FM prior to October 7 , 2009"
100.7 FM,CKUE-FM-1,Cool FM,adult contemporary,Blackburn Radio,rebroadcaster of a station from Chatham-Kent
102.3 FM,CINA-FM,102.3FM CINA Radio,multilingual,Neeti P. Ray,
103.9 FM,CJBC-FM-2,Ici Musique,public music,Canadian Broadcasting Corporation,French ; rebroadcaster of CJBC-FM Toronto
105.5 FM,CBEF-2-FM,Ici Radio-Canada Première,news/ talk,Canadian Broadcasting Corporation,French ; LP rebroadcaster of CBEF 1550
