Frequency,Call sign,Brand name,Format,Owner,City
580 AM,CJML,,special events,( unknown ),Winnipeg
680 AM,CJOB,CJOB 68,news/talk/sports,Corus Entertainment,Winnipeg
810 AM,CKJS,--,ethnic,Evanov Communications,Winnipeg
990 AM,CBW,CBC Radio One,public news / talk,Canadian Broadcasting Corporation,Winnipeg
1290 AM,CFRW,TSN Radio,sports radio,Bell Media Radio,Winnipeg
88.1 FM,CKSB-10-FM,Ici Radio-Canada Première,public news / talk ( French ),Société Radio-Canada,Winnipeg
89.9 FM,CKSB-FM,Ici Musique,public music ( French ),Société Radio-Canada,Winnipeg
91.1 FM,CKXL,Envol 91,community radio ( French ),La Radio communautaire du Manitoba inc,Winnipeg
92.1 FM,CITI,92 Citi FM,classic rock,Rogers Communications,Winnipeg
93.7 FM,CJNU,,pop standards,Nostalgia Broadcasting Cooperative,Winnipeg
94.3 FM,CHIQ,94.3 The Drive,classic hits,Jim Pattison Group,Winnipeg
95.1 FM,CHVN,CHVN 95.1FM,contemporary Christian music,Golden West Broadcasting,Winnipeg
95.9 FM,CKUW,CKUW 95.9,campus radio,University of Winnipeg,Winnipeg
96.7 FM,CILT,Mix 96.7,adult contemporary,Golden West Broadcasting,Steinbach
97.5 FM,CJKR,Power 97,active rock,Corus Entertainment,Winnipeg
98.3 FM,CBW,CBC Music,public music,Canadian Broadcasting Corporation,Winnipeg
99.1 FM,CJGV,Peggy @ 99.1 FM,adult contemporary,Corus Entertainment,Winnipeg
99.9 FM,CFWM,Bob FM,adult hits,Bell Media Radio,Winnipeg
100.7 FM,CFJL,Pop 100.5,'90s/00 's hits,Evanov Communications,Winnipeg
101.5 FM,CJUM,UMFM,campus radio,University of Manitoba,Winnipeg
