Time,Athlete,Date,Place
39:25.0,Gertrud Schmidt ( GER ),1966,?
39:10.0,Hannelore Middeke ( GER ),1966,?
38:06.4,Ann O'Brien ( IRL ),1967-03-26,"Gormanstown , Ireland"
35:30.5,Paola Pigni ( ITA ),1970-05-09,"Milan , Italy"
34:51.0,Kathy Gibbons ( USA ),1971-06-12,"Phoenix , United States"
35:00.4,Julie Brown ( USA ),1975-03-29,"Los Angeles , United States"
34:01.4,Christa Vahlensieck ( FRG ),1975-08-20,"Wolfsburg , Germany"
33:34.2,Loa Olafsson ( DEN ),1977-03-19,"Hvidovre , Denmark"
33:15.09,Peg Neppel ( USA ),1977-06-09,"Los Angeles , United States"
32:43.2,Natalia Mărăşescu ( ROM ),1978-01-22,"Băile Felix , Romania"
32:45.40,Loa Olafsson ( DEN ),1978-04-06,"Copenhagen , Denmark"
32:30.80,Olga Krentser ( URS ),1981-08-07,"Moscow , Soviet Union"
