Round,Pick #,Overall,Name,Position,College
1,3,3,Jim Dunaway,Defensive tackle,Mississippi
2,2,16,Bobby Bell,Linebacker,Minnesota
3,3,31,Ray Poage,Tight end,Texas
4,2,44,Paul Flatley,Wide receiver,Northwestern
5,3,59,Gary Kaltenbach,Tackle,Pittsburgh
8,2,100,Jim O'Mahoney,Linebacker,Miami ( FL )
9,3,115,Bob Hoover,Running back,Florida
10,2,128,Terry Kosens,Safety,Hofstra
11,3,143,John Campbell,Linebacker,Minnesota
12,2,156,John Sklopan,Defensive back,Southern Mississippi
13,3,171,Dave O'Brien,Offensive tackle,Boston College
14,2,184,Ralph Ferrisi,Back,Southern Connecticut State
15,3,199,John Murio,End,Whitworth
16,2,212,Rex Mirich,Defensive tackle,Northern Arizona
17,3,227,Tom Munsey,Back,Concord
18,2,240,Tom McIntyre,Tackle,Saint John 's ( MN )
19,3,255,Frank Horvath,Back,Youngstown State
20,2,268,Mailon Kent,Back,Auburn
