Institution,Location,Nickname,Primary Conference,Division
California Baptist University,"Riverside , California",Lancers,Western Athletic,NCAA D-I
"California State University , Bakersfield","Bakersfield , California",Roadrunners,Western Athletic,NCAA D-I
University of California San Diego,"San Diego , California",Tritons,California,NCAA D-II
University of Denver,"Denver , Colorado",Pioneers,Summit,NCAA D-I
Loyola Marymount University,"Los Angeles , California",Lions,West Coast,NCAA D-I
"University of Nevada , Las Vegas","Paradise , Nevada",Rebels,Mountain West,NCAA D-I
University of New Mexico,"Albuquerque , New Mexico",Lobos,Mountain West,NCAA D-I
University of North Dakota,"Grand Forks , North Dakota",Fighting Hawks,Summit,NCAA D-I
University of Northern Colorado,"Greeley , Colorado",Bears,Big Sky,NCAA D-I
Saint Mary 's College of California,"Moraga , California",Gaels,West Coast,NCAA D-I
Seattle University,"Seattle , Washington",Redhawks,Western Athletic,NCAA D-I
University of Wyoming,"Laramie , Wyoming",Cowboys & Cowgirls,Mountain West,NCAA D-I
