Year,Player,High School,College
2019,Sharife Cooper,McEachern,Auburn
2018,Ashton Hagans,Newton,Kentucky
2017,Chuma Okeke,Westlake,Auburn
2016,Alterique Gilbert,Miller Grove,Connecticut
2015,Jaylen Brown,Wheeler,California
2014,JaKeenan Gant,Effingham County,Missouri
2013,Brannen Greene,Tift County,Kansas
2012,Tony Parker,Miller Grove High School,UCLA
2011,Shannon Scott,Milton High School,Ohio State
2010,Marcus Thornton,Westlake,Georgia
2009,Derrick Favors,South Atlanta,Georgia Tech
2008,Al-Farouq Aminu,Norcross,Wake Forest
2007,Gani Lawal,Norcross,Georgia Tech
2006,Javaris Crittenton,Southwest Atlanta Christian,Georgia Tech
2005,Louis Williams,South Gwinnett,none
2004,Dwight Howard,Southwest Atlanta Christian,none
2003,Vincent Banks,South Atlanta,"Miami , Cincinnati , Georgia Perimeter College , Garden City Community College"
2002,Wayne Arnold,Berkmar,"Georgia , Tennessee State"
2001,Kwame Brown,Glynn Academy,none
2000,A. J. Moye,Westlake,Indiana
