Season,Player,Position,Nationality,Team
2001-02,Fred House,Guard,United States,North Charleston Lowgators
2002-03,Devin Brown,Guard,United States,Fayetteville Patriots
2003-04,Desmond Penigar,Forward,United States,Asheville Altitude
2004-05,James Thomas,Forward,United States,Roanoke Dazzle
2005-06,Will Bynum,Guard,United States,Roanoke Dazzle
2006-07,Lou Amundson,Forward,United States,Colorado 14ers
2007-08,Blake Ahearn,Guard,United States,Dakota Wizards
2008-09,Othyus Jeffers,Guard,United States,Iowa Energy
2009-10,Alonzo Gee,Guard,United States,Austin Toros
2010-11,DeShawn Sims,Forward,United States,Maine Red Claws
2011-12,Edwin Ubiles,Forward,Puerto Rico / United States,Dakota Wizards
2012-13,Tony Mitchell,Forward,United States,Fort Wayne Mad Ants
2013-14,Robert Covington,Forward,United States,Rio Grande Valley Vipers
2014-15,Tim Frazier,Guard,United States,Maine Red Claws
2015-16,Quinn Cook,Guard,United States,Canton Charge
2016-17,Abdel Nader,Forward,Egypt / United States,Maine Red Claws
2017-18,Antonio Blakeney,Guard,United States,Windy City Bulls
2018-19,Ángel Delgado,Center,Dominican Republic,Agua Caliente Clippers
