draft,Player,Pos,Nationality,Team,College ( city )
1949,Ed Macauley,F/C,United States,St. Louis Bombers,"Saint Louis University ( St. Louis , Missouri )"
1949,Vern Mikkelsen,F/C,United States,Minneapolis Lakers,"Hamline University ( Saint Paul , Minnesota )"
1950,Paul Arizin,G/F,United States,Philadelphia Warriors,Villanova University ( Philadelphia )
1951,Myer Skoog,G,United States,Minneapolis Lakers,University of Minnesota ( Minneapolis )
1952,Bill Mlkvy,F,United States,Philadelphia Warriors,Temple University ( Philadelphia )
1953,Ernie Beck,G/F,United States,Philadelphia Warriors,University of Pennsylvania ( Philadelphia )
1953,Walter Dukes,C,United States,New York Knicks,"Seton Hall University ( South Orange , New Jersey )"
1953,Larry Hennessy,G,United States,Philadelphia Warriors,Villanova University ( Philadelphia )
1955,Dick Garmaker *,G/F,United States,Minneapolis Lakers,University of Minnesota ( Minneapolis )
1955,Tom Gola,G/F,United States,Philadelphia Warriors,La Salle University ( Philadelphia )
1956,Tom Heinsohn,F/C,United States,Boston Celtics,"College of the Holy Cross ( Worcester , Massachusetts )"
1958,Guy Rodgers,G,United States,Philadelphia Warriors,Temple University ( Philadelphia )
1959,Wilt Chamberlain,C,United States,Philadelphia Warriors,"University of Kansas ( Lawrence , Kansas )"
1959,Bob Ferry,F/C,United States,St. Louis Hawks,"Saint Louis University ( St. Louis , Missouri )"
1960,Oscar Robertson,G/F,United States,Cincinnati Royals,University of Cincinnati ( Cincinnati )
1962,Dave DeBusschere,G/F,United States,Detroit Pistons,University of Detroit ( Detroit )
1962,Jerry Lucas,F/C,United States,Cincinnati Royals,"Ohio State University ( Columbus , Ohio )"
1963,Tom Thacker,G/F,United States,Cincinnati Royals,University of Cincinnati ( Cincinnati )
1964,Walt Hazzard,G,United States,Los Angeles Lakers,UCLA ( Los Angeles )
1964,George Wilson,C,United States,Cincinnati Royals,University of Cincinnati ( Cincinnati )
