School,Titles,Years
USC,12,"1948 , 1958 , 1961 , 1963 , 1968 , 1970 , 1971 , 1972 , 1973 , 1974 , 1978 , 1998"
LSU,6,"1991 , 1993 , 1996 , 1997 , 2000 , 2009"
Texas,6,"1949 , 1950 , 1975 , 1983 , 2002 , 2005"
Arizona State,5,"1965 , 1967 , 1969 , 1977 , 1981"
Arizona,4,"1976 , 1980 , 1986 , 2012"
Cal State Fullerton,4,"1979 , 1984 , 1995 , 2004"
Miami ( FL ),4,"1982 , 1985 , 1999 , 2001"
Minnesota,3,"1956 , 1960 , 1964"
Oregon State,3,"2006 , 2007 , 2018"
California,2,"1947 , 1957"
Michigan,2,"1953 , 1962"
Oklahoma,2,"1951 , 1994"
South Carolina,2,"2010 , 2011"
Stanford,2,"1987 , 1988"
Vanderbilt,2,"2014 , 2019"
Coastal Carolina,1,2016
Florida,1,2017
Fresno State,1,2008
Georgia,1,1990
Holy Cross,1,1952
