Actor,Character,Main cast,Recurring cast
Jimmy Smits,Bobby Simone,episodes 1-5,N/A
Dennis Franz,Andy Sipowicz,entire season,N/A
Rick Schroder,Danny Sorenson,episodes 6-22,N/A
James McDaniel,Arthur Fancy,entire season,N/A
Kim Delaney,Diane Simone,entire season,N/A
Gordon Clapp,Greg Medavoy,entire season,N/A
Nicholas Turturro,James Martinez,entire season,N/A
Andrea Thompson,Jill Kirkendall,entire season,N/A
Sharon Lawrence,Sylvia Costas,episodes 1-10,episodes 20-21
Bill Brochtrup,John Irvin,episodes 13-22,"episodes 1,5,7,9,12"
