Title,Abbreviation,Years,Volumes,LCCN,States covered
Atlantic Reporter,A,1885-1938,1-200,LCCN 75-641819,"CT , DE , DC , ME , MD , NH , NJ , PA , RI , VT"
"Atlantic Reporter , second series",A.2d,1938-2010,1-999,LCCN 39-6316,"CT , DE , DC , ME , MD , NH , NJ , PA , RI , VT"
"Atlantic Reporter , third series",A.3d,2010-,1-,LCCN 90-655067,"CT , DE , DC , ME , MD , NH , NJ , PA , RI , VT"
North Eastern Reporter,N.E,1885-1936,1-200,LCCN 75-641653,"IL , IN , MA , NY , OH"
"North Eastern Reporter , second series",N.E.2d,1936-,1-,LCCN 36-20384,"IL , IN , MA , NY , OH"
North Western Reporter,N.W,1879-1941,1-300,LCCN 99-1342,"IA , MI , MN , NE , ND , SD , WI"
"North Western Reporter , second series",N.W.2d,1941-,1-,LCCN 42-12503,"IA , MI , MN , NE , ND , SD , WI"
South Eastern Reporter,S.E,1887-1938,1-200,LCCN 75-641818,"GA , NC , SC , VA , WV"
"South Eastern Reporter , second series",S.E.2d,1938-,1-,LCCN 89-642322,"GA , NC , SC , VA , WV"
Southern Reporter,So,1887-1940,1-200,LCCN 75-641740,"AL , FL , LA , MS"
"Southern Reporter , second series",So . 2d,1940-2009,1-999,LCCN 45-30734,"AL , FL , LA , MS"
"Southern Reporter , third series",So . 3d,2009-,1-,LCCN 88-647630,"AL , FL , LA , MS"
South Western Reporter,S.W,1886-1928,1-300,LCCN 75-643936,"AR , KY , MO , TN , TX"
"South Western Reporter , second series",S.W.2d,1928-1999,1-999,LCCN 88-647631,"AR , KY , MO , TN , TX"
"South Western Reporter , third series",S.W.3d,1999-,1-,LCCN 88-647631,"AR , KY , MO , TN , TX"
Pacific Reporter,P,1883-1931,1-300,LCCN 75-643937,"AK , AZ , CA , CO , HI , ID , KS , MT , NV , NM , OK , OR , UT , WA , WY"
"Pacific Reporter , second series",P.2d,1931-2000,1-999,LCCN 31-34985,"AK , AZ , CA , CO , HI , ID , KS , MT , NV , NM , OK , OR , UT , WA , WY"
"Pacific Reporter , third series",P.3d,2000-,1-,LCCN 89-647235,"AK , AZ , CA , CO , HI , ID , KS , MT , NV , NM , OK , OR , UT , WA , WY"
