Year,Title,Role,Notes
2007-2010,Hollyoaks,Barry Newt Newton,Nominated - The British Soap Awards Best Newcomer Nominated - The British Soap Awards Best On-Screen Partnership ( shared with Marc Silcock )
2010,Doctors,Giovanni Mannasori,7 episodes
2010,Moving On,Jamie,Episode : Losing My Religion
2010-2012,Upstairs Downstairs,Johnny Proude,
2011,Exile,Teenage Tom,
2011,The Body Farm,Sam Villiers,Episode 1.2
2012,Last Tango in Halifax,Young Alan,Episode 1.6
2013,The Village,Joe Middleton,Series 1 Nominated - British Academy Television Awards for Best Supporting Actor
2013-2015,My Mad Fat Diary,Finn Nelson,Series 1-3
2014,Common,Johnjo O'Shea,
2015,The Ark,Kenan,
2015,Virtuoso,Franz,
2016,Rillington Place,Timothy Evans,3-part drama
