Year,Player,High School,College,NBA/Professional Team
2018,Dane Goodwin,Upper Arlington High School,Notre Dame,
2017,Kaleb Wesson,Westerville South High School,Ohio State,
2016,Zavier Simpson,Lima Senior High School,Michigan,
"2014 , 2015",Luke Kennard,Franklin High School,Duke,Detroit Pistons
2013,Marc Loving,St. John 's Jesuit,Ohio State,
2012,Terry Rozier,Shaker Heights High School,Louisville,Boston Celtics
2011,Travis Trice,Wayne High School,Michigan State,
"2010 , 2009",Jared Sullinger,Columbus Northland,Ohio State,Shenzhen Leopards
2008,William Buford,Toledo Libbey,Ohio State,G.S . Lavrio B.C
2007,Jon Diebler,Upper Sandusky,Ohio State,Darüşşafaka
2006,Raymar Morgan,Canton McKinley,Michigan State,BC UNICS
2005,Jamelle Cornley,Columbus Brookhaven,Penn State,
2004,Jamar Butler,Lima Shawnee,Ohio State,"Pepsi Caserta ( Italy , 2008 ) ; Mutlu Aku Selcuk Universitesi Konya ( Turkey , 2009 ) ; Olympia Larissa B.C . ( Greece , 2009-10 )"
"2003 , 2002 , 2001",LeBron James,St. Vincent - St. Mary,None,"Cleveland Cavaliers ( 2003-2010 ; 2014-2018 ) , Miami Heat ( 2010-2014 ) , Los Angeles Lakers ( 2018-present )"
2000,Romain Sato,Dayton Christian,Xavier,"Aurora Jesi ( Italy , 2nd division , 2005-06 ) ; FC Barcelona ( Spain , 2006 ) ; Montepaschi Siena ( Italy , 1st division , 2006-10 ) ; Panathinaikos ( Greece , 2010- )"
1999,Brooks Hall,Troy,Dayton,
1998,Keith McLeod,Canton McKinley,Bowling Green,"Minnesota Timberwolves , Utah Jazz , Golden State Warriors and Indiana Pacers"
1997,Andre Hutson,Trotwood-Madison,Michigan State,
1996,Jason Collier,Springfield Catholic,Indiana / Georgia Tech,Died in 2005 while playing for the Atlanta Hawks
1995,Shaun Stonerook,Westerville North,Ohio State / Ohio,Montepaschi Siena ( Italy )
