Church name,Address,Community,School
Corpus Christi [ 1 ],887 Toyopa Dr. 34°02′39″N 118°31′27″W / 34.04417°N 118.52417°W / 34.04417 ; -118.52417 ( Corpus Christi ),Los Angeles ( Pacific Palisades ),K-8 [ 2 ]
Our Lady of Malibu [ 3 ],3625 Winter Canyon Rd . 34°02′20″N 118°41′57″W / 34.03889°N 118.69917°W / 34.03889 ; -118.69917 ( Our Lady of Malibu ),Malibu,K-8 [ 4 ]
St. Anne [ 5 ],2011 Colorado Ave. 34°01′35″N 118°28′35″W / 34.02639°N 118.47639°W / 34.02639 ; -118.47639 ( St. Anne ),Santa Monica,K-8 [ 6 ]
St. Clement [ 7 ],3102 3rd St. 33°59′54″N 118°28′40″W / 33.99833°N 118.47778°W / 33.99833 ; -118.47778 ( St. Clement ),Santa Monica,No
St. Monica,725 California Ave. 34°01′23″N 118°29′49″W / 34.02306°N 118.49694°W / 34.02306 ; -118.49694 ( St. Monica ),Santa Monica,K-8 [ 8 ] 9-12 [ 9 ]
St. Mark [ 10 ],940 Coeur D ' Alene Ave. 33°59′32″N 118°27′05″W / 33.99222°N 118.45139°W / 33.99222 ; -118.45139 ( St. Mark ),Los Angeles ( Venice ),K-8 [ 11 ]
St. Augustine,10195 Washington Blvd . 34°01′12″N 118°24′01″W / 34.02000°N 118.40028°W / 34.02000 ; -118.40028 ( St. Augustine ),Culver City,K-8 [ 12 ]
St. Jerome [ 13 ],5550 Thornburn St. 33°58′24″N 118°22′38″W / 33.97333°N 118.37722°W / 33.97333 ; -118.37722 ( St. Jerome ),Los Angeles ( Westchester ),K-8 [ 14 ]
Visitation [ 15 ],8740 S. Emerson Ave. 33°57′29″N 118°24′13″W / 33.95806°N 118.40361°W / 33.95806 ; -118.40361 ( Visitation ),Los Angeles ( Westchester ),K-8 [ 16 ]
St. Anastasia [ 17 ],7390 West Manchester Ave. 33°57′34″N 118°25′32″W / 33.95944°N 118.42556°W / 33.95944 ; -118.42556 ( St. Anastasia ),Los Angeles ( Westchester ),K-8 [ 18 ]
St. Martin of Tours,11967 Sunset Blvd . 34°03′32″N 118°28′28″W / 34.05889°N 118.47444°W / 34.05889 ; -118.47444 ( St. Martin of Tours ),Los Angeles ( Brentwood ),K-8 [ 19 ]
St. Sebastian [ 20 ],11607 Ohio Ave. 34°02′44″N 118°27′18″W / 34.04556°N 118.45500°W / 34.04556 ; -118.45500 ( St. Sebastian ),Los Angeles ( West Los Angeles ),K-8 [ 21 ]
St. Paul the Apostle [ 22 ],10750 Ohio Ave. 34°03′21″N 118°26′14″W / 34.05583°N 118.43722°W / 34.05583 ; -118.43722 ( St. Paul the Apostle ),Los Angeles ( Westwood ),K-8 [ 23 ]
St. Joan of Arc [ 24 ],11534 Gateway Blvd . 34°01′54″N 118°26′30″W / 34.03167°N 118.44167°W / 34.03167 ; -118.44167 ( St. Joan of Arc ),Los Angeles ( West Los Angeles ),K-8 [ 25 ]
St. Timothy,10425 W Pico Blvd . 34°03′46″N 118°25′04″W / 34.06278°N 118.41778°W / 34.06278 ; -118.41778 ( St. Timothy ),Los Angeles ( Rancho Park ),K-8 [ 26 ]
Good Shepherd,505 N. Bedford Dr. 34°04′10″N 118°24′25″W / 34.06944°N 118.40694°W / 34.06944 ; -118.40694 ( Good Shepherd ),Beverly Hills,K-8 [ 27 ]
Our Lady of Mount Lebanon - St. Peter Cathedral [ 28 ],333 S. San Vicente Blvd . 34°04′21″N 118°22′38″W / 34.07250°N 118.37722°W / 34.07250 ; -118.37722 ( Our Lady of Mount Lebanon ),Los Angeles ( Beverly Center ),No
St. Gerard Majella [ 29 ],4439 Inglewood Blvd . 33°59′43″N 118°25′08″W / 33.99528°N 118.41889°W / 33.99528 ; -118.41889 ( St. Gerard Majella ),Los Angeles ( Mar Vista ),K-8 [ 30 ]
St. Ambrose Church [ 31 ],1281 N. Fairfax Ave. 34°05′39″N 118°21′42″W / 34.09417°N 118.36167°W / 34.09417 ; -118.36167 ( St. Ambrose ),West Hollywood,No
Saint Victor Catholic Church [ 32 ],8634 Holloway Dr. 34°05′25″N 118°22′49″W / 34.09028°N 118.38028°W / 34.09028 ; -118.38028 ( St. Victor ),West Hollywood,No
