Elector,Nationality,Cardinalatial Title,Elevated,Elevator,Notes
Giorgio Fieschi ( called Cardinal Fieschi ),Genovese,Bishop of Ostia e Velletri,"1439 , December 18",Pope Eugenius IV,Dean of the Sacred College of Cardinals ; bishop of Albenga
Isidore of Kiev ( Cardinal of Ruthenia ),Greek,Bishop of Sabina ; administrator of SS . Marcellino e Pietro,"1439 , December 18",Pope Eugenius IV,Latin Patriarch of Constantinople ; administrator of the see of Nicosia
Bessarion ( Cardinal of Nicea ),Greek,Bishop of Frascati ; commendatario of SS . XII Apostoli,"1439 , December 18",Pope Eugenius IV,Titular archbishop of Nicea and Tebe ; administrator of the sees of Mazara del Vallo and Pamplona ; Cardinal-protector of the Order of Basilians
"Guillaume d'Estouteville , O.S.B.Cluny ( Cardinal of Rouen )",French,Priest of SS . Martino e Silvestro,"1439 , December 18",Pope Eugenius IV,Archbishop of Rouen and administrator of the see of Saint-Jean-de-Maurienne ; Archpriest of the patriarchal Liberian Basilica ; Cardinal-protector of the Order of Augustinians
"Juan de Torquemada , O.P . ( Cardinal of S. Sisto )",Castilian,Priest of S. Maria in Trastevere,"1439 , December 18",Pope Eugenius IV,Administrator of the suburbicarian see of Palestrina ; abbot commendatario of Subiaco
Pietro Barbo ( Cardinal of S. Marco ),Venetian,Priest of S. Marco,"1440 , July 1",Pope Eugenius IV ( Cardinal-nephew ),Bishop of Vicenza ; Archpriest of the patriarchal Vatican Basilica
Antonio de la Cerda ( Cardinal of Messina ),Catalan,Priest of S. Lucia in Septisolio,"1448 , February 16",Pope Nicholas V,Bishop of Lerida ; administrator of the see of Giovinazzo
Latino Orsini ( Cardinal Orsini ),Roman,Priest of SS . Giovanni e Paolo,"1448 , December 20",Pope Nicholas V,Administrator of the see of Bari ; Archpriest of the patriarchal Lateran Basilica
Alain de Coëtivy ( Cardinal of Avignon ),French,Priest of S. Prassede,"1448 , December 20",Pope Nicholas V,Bishop of Avignon and administrator of the sees of Nîmes and Dol
Filippo Calandrini ( Cardinal of Bologna ),Bolognese,Priest of S. Lorenzo in Lucina,"1448 , December 20",Pope Nicholas V ( Cardinal-nephew ),Bishop of Bologna
Luis Juan del Mila y Borja ( Cardinal of Segorbe ),Catalan,Priest of SS . IV Coronati,"1456 , February 20",Pope Callixtus III ( Cardinal-nephew ),Administrator of the see of Segorbe ; Legate in Bologna
Juan de Mella ( Cardinal of Zamora ),Castilian,Priest of S. Prisca,"1456 , December 17",Pope Callixtus III,Bishop of Zamora
Giovanni Castiglione ( Cardinal of Pavia ),Milanese,Priest of S. Clemente,"1456 , December 17",Pope Callixtus III,Bishop of Pavia
Enea Silvio Piccolomini ( Cardinal of Siena ),Siena,Priest of S. Sabina,"1456 , December 17",Pope Callixtus III,Bishop of Siena and bishop of Warmia
Giacomo Tebaldi ( Cardinal of S. Anastasia ),Neapolitan,Priest of S. Anastasia,"1456 , December 17",Pope Callixtus III,Archbishop of Naples ; Camerlengo of the Sacred College of Cardinals
Prospero Colonna ( Cardinal Colonna ),Roman,Deacon of S. Giorgio in Velabro,"1426 , May 24",Pope Martin V ( cardinal-nephew ),Protodeacon of the Sacred College of Cardinals
Jaime de Portugal ( Cardinal of Portugal ),Portuguese,Deacon of S. Eustachio,"1456 , February 20",Pope Callixtus III,Archbishop of Lisbon ; administrator of the see of Paphos
Rodrigo Borgia ( Cardinal Vicechancellor ),Catalan,Deacon of S. Nicola in Carcere ; commendatario of S. Maria in Via Lata,"1456 , February 20",Pope Callixtus III ( Cardinal-nephew ),Vice-Chancellor of the Holy Roman Church ; Administrator of Valencia ; generalissimo of the papal troops
