#,Artist,Song title,Lyrical content
1,Prince,Darling Nikki,Sex/Masturbation
2,Sheena Easton,Sugar Walls,Sex
3,Judas Priest,Eat Me Alive,Sex/Violence
4,Vanity,Strap On 'Robbie Baby ',Sex
5,Mötley Crüe,Bastard,Violence/Language
6,AC/DC,Let Me Put My Love Into You,Sex
7,Twisted Sister,We 're Not Gon na Take It,Violence
8,Madonna,Dress You Up,Sex
9,W.A.S.P,Animal ( Fuck Like a Beast ),Sex/Language/Violence
10,Def Leppard,High ' n ' Dry ( Saturday Night ),Drug and alcohol use
11,Mercyful Fate,Into the Coven,Occult
12,Black Sabbath,Trashed,Drug and alcohol use
13,Mary Jane Girls,In My House,Sex
14,Venom,Possessed,Occult
15,Cyndi Lauper,She Bop,Sex/Masturbation
