2010,2009,2008,University,Country
01,01,01,University of California- Davis,US
02,02,02,Wageningen University,Netherlands
03,03,03,Cornell University,US
04,04,04,University of California- Berkeley,US
05,05,05,University of Wisconsin- Madison,US
06,06,06,University of Florida,US
07,08,09,Michigan State University,US
08,07,08,University of Minnesota- Twin Cities,US
09,10,11,Harvard University,US
10,15,19,Ghent University,Belgium
11,11,14,Oregon State University,US
12,14,10,The University of British Columbia,Canada
13,12,13,Duke University,US
14,09,07,University of Georgia,US
15,13,48,University of Copenhagen,Denmark
16,19,17,The University of Tokyo,Japan
17,20,20,University of Arizona,US
18,16,16,Swedish University of Agricultural Sciences,Sweden
19,17,15,University of Helsinki,Finland
20,18,18,University of Illinois- Urbana-Champaign,US
