Name,Location,Nelson Complexity Factor,Crude Oil Processing Capacity ( MBD )
Wood River Refinery*,"Roxana , IL",9.8,305
Alliance Refinery,"Belle Chasse , LA",12.0,247
Sweeny Refinery,"Old Ocean , TX",13.2,247
Bayway Refinery,"Linden , NJ",8.5,238
Lake Charles Refinery,"Westlake , LA",10.2,239
Ponca City Refinery,"Ponca City , OK",9.8,210
Borger Refinery*,"Borger , TX",12.3,146
Los Angeles Refinery,"Carson , CA / Wilmington , CA",14.1,139
San Francisco Refinery,"Rodeo , CA / Arroyo Grande , CA",13.6,120
Ferndale Refinery,"Ferndale , WA",7.4,100
Billings Refinery,"Billings , MT",14.3,58
Humber Refinery,North Lincolnshire,11.6,221
MIRO Refinery*,Karlsruhe,7.9,58
