Season,Champion,Runner-up,Third Place
1986-87,Deportivo Armenio,Banfield,Belgrano
1987-88,Deportivo Mandiyú,San Martin ( T ),Chaco For Ever
1988-89,Chaco For Ever,Unión,Colón
1989-90,Huracán,Lanús,Quilmes
1990-91,Quilmes,Belgrano,Banfield
1991-92,Lanús,San Martin ( T ),Almirante Brown
1992-93,Banfield,Gimnasia y Tiro,Central Córdoba
1993-94,Gimnasia y Esgrima ( J ),Talleres ( C ),Instituto
1994-95,Estudiantes ( LP ),Colón,San Martin ( T )
1995-96,Huracán ( C ),Unión,Atlético Tucumán
1996-97,Argentinos Juniors,Gimnasia y Tiro,Talleres ( C )
1997-98,Talleres ( C ),Belgrano,Aldosivi
1998-99,Instituto,Chacarita Juniors,Juventud Antoniana
1999-00,Huracán,Los Andes,Almagro
2000-01,Banfield,Nueva Chicago,Argentinos Juniors
2001-02,Olimpo,Arsenal,Huracán ( TA )
2002-03,Atlético de Rafaela,Quilmes,Argentinos Juniors
2003-04,Instituto,Almagro,Huracán ( TA )
2004-05,Tiro Federal,Gimnasia y Esgrima ( J ),Huracán
2005-06,Godoy Cruz,Nueva Chicago,Belgrano
