Year,Competition,Venue,Position,Notes
"April 20 , 1996",Rotterdam Marathon,"Rotterdam , Netherlands",3rd,2:08:02
"December 15 , 1996",Cancún Marathon,"Cancún , Mexico",1st,2:12:33
"November 1 , 1998",Amsterdam Marathon,"Amsterdam , Netherlands",1st,2:08:13
"May 2 , 1999",Turin Marathon,"Turin , Italy",1st,2:08:27
"April 22 , 2001",Rotterdam Marathon,"Rotterdam , Netherlands",3rd,2:08:14
"February 3 , 2002",Beppu-Ōita Marathon,"Beppu / Ōita , Japan",1st,2:11:45
"June 2 , 2002",Rock ' n ' Roll San Diego Marathon,"San Diego , California , United States",1st,2:09:02
"October 20 , 2002",Amsterdam Marathon,"Amsterdam , Netherlands",5th,2:08:10
"September 28 , 2003",Berlin Marathon,"Berlin , Germany",2nd,2:04:56
"April 18 , 2004",London Marathon,"London , United Kingdom",2nd,2:06:49
"October 9 , 2005",Chicago Marathon,"Chicago , United States",9th,2:10:53
"February 12 , 2006",Tokyo Marathon,"Tokyo , Japan",3rd,2:10:07
"April 9 , 2006",Rotterdam Marathon,"Rotterdam , Netherlands",1st,2:06:38
"March 16 , 2008",Seoul International Marathon,"Seoul , South Korea",1st,2:07:32
