Year,Film,Language,Notes
2003,Unnai Charanadaindhen,Tamil,Tamil Nadu State Film Award for Best Story Writer
2004,Neranja Manasu,Tamil,
2004,Naalo,Telugu,Remake of Unnai Charanadaindhen
2009,Nadodigal,Tamil,"Vijay Award for Favourite Director Nominated , Filmfare Award for Best Director - Tamil Nominated , Vijay Award for Best Director Nominated , Vijay Award for Best Story , Screenplay Writer"
2010,Shambo Shiva Shambo,Telugu,Remake of Nadodigal
2011,Poraali,Tamil,Vijay Award for Best Dialogue Writer
2012,Yaare Koogadali,Kannada,Remake of Poraali
2014,Nimirndhu Nil,Tamil,
2014,Janda Pai Kapiraju,Telugu,Simultaneously made as Nimirndhu Nil
2016,Appa,Tamil,
2017,Thondan,Tamil,
2017,Aakashamittayee,Malayalam,Remake of Appa
2019,Naadodigal 2,Tamil,
TBA,Kitna,Tamil Malayalam Telugu Kannada,Delayed
