Year,Film,Category,Result
1993,Orlando,Best Costume Design,Nominated
1997,The Wings of the Dove,Best Costume Design,Nominated
1998,Shakespeare in Love,Best Costume Design,Won
1998,Velvet Goldmine,Best Costume Design,Nominated
2002,Gangs of New York,Best Costume Design,Nominated
2004,The Aviator,Best Costume Design,Won
2005,Mrs Henderson Presents,Best Costume Design,Nominated
2009,The Young Victoria,Best Costume Design,Won
2010,The Tempest,Best Costume Design,Nominated
2011,Hugo,Best Costume Design,Nominated
2015,Carol,Best Costume Design,Nominated
2015,Cinderella,Best Costume Design,Nominated
2018,The Favourite,Best Costume Design,Nominated
2018,Mary Poppins Returns,Best Costume Design,Nominated
2019,The Irishman,Best Costume Design,Nominated
