Year,Grand Slam,Round,Winner,Loser
1969,Australian Open,First round,Margaret Court,Judith Gohn
1969,French Open,First round,Kazuko Sawamatsu,Monique Van Haver
1969,French Open,Third round,Julie Heldman,Raquel Giscafré
1969,Wimbledon,Third round,Karen Krantzcke,Pam Teeguarden
1970,Australian Open,Second round,Margaret Court,Caroline Langsford
1970,French Open,First round,Helga Hösl,Katalin Borka
1970,French Open,Third round,Billie Jean King,Odile de Roubin
1970,Wimbledon,Second round,Peggy Michel,Alena Palmeova
1970,Wimbledon,Second round,Judy Dalton,Susan Northen
1971,Australian Open,First round,Patricia Coleman,Helen Taylor
1971,French Open,First round,Julie Heldman,Sharon Van Brandis
1971,Wimbledon,First round,Rosie Casals,Rosy Darmon
1971,Wimbledon,Second round,Margaret Court,Lorraine Robinson
1972,French Open,First round,Vlasta Vopičková,Michele Gurdal
1972,US Open,Second round,Margaret Court,Barbara Hawcroft
1973,Australian Open,Second round,Margaret Court,Nathalie Fuchs
1974,Australian Open,First round,Wendy Turnbull,Brenda Dale
1974,Australian Open,Second round,Chris Evert,Katerleen Szeman
1974,Australian Open,Second round,Evonne Goolagong,Miki Yokobori
1974,French Open,First round,Marie Neumannová,Nicole Bimes
