Year,Title,Role,Channel
2009,Raghukul Reet Sada Chali Aayi,Rajesh Khanna 's Son,DD National
2009,Kitani Mohabbat Hai,Salil Mittal,Imagine TV
2009-10,Bairi Piya,Radhe,Colors TV
2010,Roomies,-,Channel V India
2010-12,Na Aana Is Des Laado,Aditya Gajendar Sangwan,Colors TV
2011,Sanjog Se Bani Sangini,-,Zee TV
2012,Sawaare Sabke Sapne ... Preeto,Sunny,Imagine TV
2012,Hum Ne Li Hai ... Shapath,Cameo,Life OK
2012,Love Marriage Ya Arranged Marriage,Mansi 's coach,Sony TV
2012-13,Sapne Suhane Ladakpan Ke,Aditya,Zee TV
2013,Adaalat,Akash Talwar/Rajat Malhotra,Sony TV
2013-14,Ek Boond Ishq,Yug,Life OK
2014,Sanskaar - Dharohar Apnon Ki,Gaurav,Colors TV
2014,Saath Nibhana Saathiya,Vivaan Khanna,Star Plus
2014,Encounter,Ameya,Sony TV
2015,Maharakshak Devi,Krishna,Zee TV
2015,Love by Chance,-,Bindass
2015-16,Mere Angne Mein,Vyom Sinha,Star Plus
2016,Shiksha : Ek Mazboot Aadharshila,-,DD Kisan
2016,Sahaab Ji,-,DD Kisan
