Team Name,City,Venue,Capacity
Bratislava Capitals,Bratislava,Vladimír Dzurilla Arena,"3,500"
HC Topoľčany,Topoľčany,Topvar Aréna,"3,400"
HK Martin,Martin,Martin Ice Stadium,"4,200"
HK Skalica,Skalica,Skalica Ice Stadium,"4,100"
MsHK Žilina,Žilina,Garmin Arena,"6,200"
HK 95 Panthers Považská Bystrica,Považská Bystrica,Považská Bystrica Ice Stadium,"2,400"
HK Spišská Nová Ves,Spišská Nová Ves,Spiš Aréna,"5,458"
HK Dubnica,Dubnica nad Váhom,Dubnica Ice Stadium,"3,000"
HK Trnava,Trnava,Trnava Ice Stadium,"3,800"
HK Levice,Levice,Levice Ice Stadium,"2,400"
