Name & Description,Capacity in MW p,Location,Annual yield in MWh,Capacity factor
"Erlasee Solar Park , 1408 SOLON",12,Arnstein,"14,000",0.13
Gottelborn Solar Park,8.4,Göttelborn,n.a,n.a
"Bavaria Solarpark , 57,600 solar modules",6.3,Mühlhausen,"6,750",0.12
"Rote Jahne Solar Park , 92,880 thin-film modules , First Solar , FS-260 , FS-262 and FS-265",6.0,Doberschütz,"5,700",0.11
"Bürstadt Solar Farm , 30,000 BP Solar modules",5.0,Bürstadt,"4,200",0.10
"Espenhain , 33,500 Shell Solar modules",5.0,Espenhain,"5,000",0.11
"Geiseltalsee Solarpark , 24,864 BP solar modules",4.0,Merseburg,"3,400",0.10
"Hemau Solar Farm , 32,740 solar modules",4.0,Hemau,"3,900",0.11
"Solara , Sharp and Kyocera solar modules",3.3,Dingolfing,"3,050",0.11
"Solarpark Herten , 11.319 Modules from Astronergy",3,Rheinfelden,"3,000",0.11
"Bavaria Solarpark , Sharp solar modules",1.9,Günching,n.a,n.a
"Bavaria Solarpark , Sharp solar modules",1.9,Minihof,n.a,n.a
