Medal,Name,Sport,Event
Gold,Son Sang-Won,Extreme sports,Sports climbing ( Men 's lead )
Gold,Kim Ja-In,Extreme sports,Sports climbing ( Women 's lead )
Gold,Han Myung-Seok,Short course swimming,Men 's 200 m backstroke
Gold,Won Jae-Yun,Short course swimming,Men 's 200 m butterfly
Gold,Seo Hee,Short course swimming,Women 's 200 m backstroke
Silver,Song Jong-Kun Shin Hyun-Kyung,Aerobic gymnastics,Mixed pair
Silver,Song Jong-Kun Shin Hyun-Kyung Kim Gyun-Taek,Aerobic gymnastics,Trio
Silver,Yun Hak-Jun Park Eun-Jung,Dancesport,Standard dance ( Quickstep )
Silver,Park Ji-Woo Park Ji-Eun,Dancesport,Latin dance ( Rumba )
Silver,Kim Seong-Eun,Indoor athletics,Women 's 3000 m
Silver,Kim Myung-Hwan,Short course swimming,Men 's 50 m backstroke
Silver,Lee Mi-Rim,Short course swimming,Women 's 100 m individual medley
Bronze,Park Ji-Woo Park Ji-Eun,Dancesport,Latin dance ( Five dances )
Bronze,Jung Hee-Jung Kim Hyun-Jin,Dancesport,Latin dance ( Cha-cha-cha )
Bronze,Men 's Team,Hoop takraw,Men 's Hoop takraw
Bronze,Park Min-Kyu,Short course swimming,Men 's 200 m freestyle
Bronze,Han Myung-Seok,Short course swimming,Men 's 50 m backstroke
Bronze,Han Myung-Seok,Short course swimming,Men 's 100 m backstroke
Bronze,Men 's Team,Short course swimming,Men 's 4×100 m freestyle relay
Bronze,Jeong Woo-Hee,Short course swimming,Women 's 200 m breaststroke
