Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
Cha-Cha-Cha,Natasha Kaplinsky Verona Joseph,27,David Dickinson,16
Foxtrot,Natasha Kaplinsky,35,Martin Offiah,24
Jive,Lesley Garrett,29,Christopher Parker,17
Paso Doble,Natasha Kaplinsky,35,Christopher Parker,15
Quickstep,Natasha Kaplinsky,36,David Dickinson,21
Rumba,Natasha Kaplinsky,36,Christopher Parker,16
Samba,Natasha Kaplinsky,37,Christopher Parker,15
Showdance,Natasha Kaplinsky,35,Christopher Parker,22
Tango,Claire Sweeney,34,David Dickinson,20
Waltz,Natasha Kaplinsky,36,Jason Wood,21
