Dance,Celebrity,Highest score,Celebrity,Lowest score
American Smooth,Harry Judd,39,Russell Grant,26
Argentine Tango,Jason Donovan Harry Judd,40,Anita Dobson,33
Cha Cha Cha,Jason Donovan,32,Lulu Edwina Currie,17
Charleston,Harry Judd,39,Alex Jones,29
Foxtrot,Chelsee Healey,36,Edwina Currie,19
Jive,Chelsee Healey,39,Audley Harrison,20
Paso Doble,Chelsee Healey,40,Nancy Dell'Olio,18
Quickstep,Harry Judd,40,Audley Harrison,24
Rumba,Chelsee Healey,39,Nancy Dell'Olio,14
Salsa,Harry Judd,34,Nancy Dell'Olio,14
Samba,Chelsee Healey,35,Russell Grant,22
Showdance,Jason Donovan,40,Chelsee Healey,36
Swing-a-thon,Harry Judd,7,Robbie Savage,1
Tango,Jason Donovan,38,Nancy Dell'Olio,20
Viennese Waltz,Harry Judd,39,Dan Lobb,24
Waltz,Harry Judd,35,Nancy Dell'Olio,12
