City/Region,No . hosted,Years hosted
Miami metropolitan area,11,"1968 , 1969 , 1971 , 1976 , 1979 , 1989 , 1995 , 1999 , 2007 , 2010 , 2020"
New Orleans,10 ( 11 ),"1970 , 1972 , 1975 , 1978 , 1981 , 1986 , 1990 , 1997 , 2002 , 2013 , 2024"
Los Angeles metropolitan area,7 ( 8 ),"1967 , 1973 , 1977 , 1980 , 1983 , 1987 , 1993 , 2022"
Tampa,4 ( 5 ),"1984 , 1991 , 2001 , 2009 , 2021"
Phoenix metropolitan area,3 ( 4 ),"1996 , 2008 , 2015 , 2023"
San Diego,3,"1988 , 1998 , 2003"
Houston,3,"1974 , 2004 , 2017"
Atlanta,3,"1994 , 2000 , 2019"
Metro Detroit,2,"1982 , 2006"
San Francisco Bay Area,2,"1985 , 2016"
Minneapolis,2,"1992 , 2018"
Jacksonville,1,2005
Dallas-Fort Worth Metroplex,1,2011
Indianapolis,1,2012
New York metropolitan area,1,2014
