Player,First to last captaincy,Matches as captain,Major tournament ( s )
Björn Nordqvist,1967-1978,92,2 matches in 1970 FIFA World Cup 1 match in 1974 FIFA World Cup 3 matches in 1978 FIFA World Cup
Zlatan Ibrahimović,2008-2016,58,3 matches in UEFA Euro 2012 3 matches in UEFA Euro 2016
Jonas Thern,1989-1997,55,1 match in 1990 FIFA World Cup 4 matches in UEFA Euro 1992 5 matches in 1994 FIFA World Cup
Ingemar Erlandsson,1981-1985,47,-
Patrik Andersson,1995-2002,41,2 matches in UEFA Euro 2000
Orvar Bergmark,1959-1965,38,-
Erik Nilsson,1947-1952,37,5 matches in 1950 FIFA World Cup 4 matches in 1952 Summer Olympics
Olof Mellberg,2002-2006,36,4 matches in UEFA Euro 2004 4 matches in 2006 FIFA World Cup
Andreas Granqvist,2016-2019,33,5 matches in 2018 FIFA World Cup
Sven Friberg,1920-1928,30,4 matches in 1924 Summer Olympics
Bengt Gustavsson,1953-1962,29,1 match in 1958 FIFA World Cup
Glenn Hysén,1987-1990,23,2 matches in 1990 FIFA World Cup
Roland Nilsson,1989-2000,22,2 matches in 1994 FIFA World Cup
Johan Mjällby,1998-2004,17,1 match in UEFA Euro 2000 4 matches in 2002 FIFA World Cup
Sven Jonasson,1935-1940,13,1 match in 1938 FIFA World Cup
Fredrik Ljungberg,2006-2008,13,3 matches in UEFA Euro 2008
Bo Larsson,1973-1974,10,5 matches in 1974 FIFA World Cup
Ragnar Wicksell,1914-1921,9,1 match in 1920 Summer Olympics
Birger Rosengren,1945-1948,9,4 matches in 1948 Summer Olympics
Hans Lindman,1908-1911,6,2 matches in 1908 Summer Olympics
