Team,City,Arena,Capacity
Brynäs IF,Gävle,Monitor ERP Arena,"7,909"
Djurgårdens IF,Stockholm,Hovet,"8,094"
Frölunda HC,Gothenburg,Scandinavium,"12,044"
Färjestad BK,Karlstad,Löfbergs Arena,"8,647"
HV71,Jönköping,Kinnarps Arena,"7,000"
Leksands IF,Leksand,Tegera Arena,"7,650"
Linköping HC,Linköping,Saab Arena,"8,500"
Luleå HF,Luleå,Coop Norrbotten Arena,"6,300"
Malmö Redhawks,Malmö,Malmö Arena,"12,600"
IK Oskarshamn,Oskarshamn,Be-Ge Hockey Center,"3,275"
Rögle BK,Ängelholm,Catena Arena,"5,045"
Skellefteå AIK,Skellefteå,Skellefteå Kraft Arena,"5,801"
Växjö Lakers,Växjö,Vida Arena,"5,750"
Örebro HK,Örebro,Behrn Arena,"5,100"
