Flag,Nation,Head of State,Office
Mauritania,Mauritania,Sidi Mohamed Ould Cheikh Abdallahi,President
Eritrea,Eritrea,Isaias Afwerki,President
Sudan,Sudan,Omar al-Bashir,President
Benin,Benin,Yayi Boni,President
Burkina Faso,Burkina Faso,Blaise Compaoré,President
Mozambique,Mozambique,Armando Guebuza,President
Rwanda,Rwanda,Paul Kagame,President
Kenya,Kenya,Mwai Kibaki,President
Tanzania,Tanzania,Jakaya Mrisho Kikwete,President
African Union,African Union,Jakaya Mrisho Kikwete,President
Sierra Leone,Sierra Leone,Ernest Bai Koroma,President
Ghana,Ghana,John Agyekum Kufuor,President
Zambia,Zambia,Levy Mwanawasa,President
South Africa,South Africa,Thabo Mbeki,President
Swaziland,Swaziland,Mswati III,King
Uganda,Uganda,Yoweri Museveni,President
Malawi,Malawi,Bingu wa Mutharika,President
Republic of the Congo,Republic of the Congo,Denis Sassou Nguesso,President
Gabon,Gabon,Omar Bongo Ondimba,President
Cape Verde,Cape Verde,Pedro Verona Rodrigues Pires,President
