Year,Title,Role
1976,Rush It,Richard Moore
1977,"Johnny , We Hardly Knew Ye",Billy Sutton
1977,The Sentinel,Man at end
1977,Looking for Mr. Goodbar,Gary
1978,In Praise of Older Women,Andras Vayda
1979,Butch and Sundance : The Early Days,Butch Cassidy / Robert Leroy Parker
1980,The Dogs of War,Drew
1982,Beyond the Door,Matthew Jackson
1983,The Big Chill,Sam Weber
1983,Eddie and the Cruisers,Frank Ridgeway
1984,Fear City,Matt Rossi
1985,Rustlers ' Rhapsody,Rex O'Herlihan
1986,Platoon,Sergeant Barnes
1987,Someone to Watch Over Me,Det . Mike Keegan
1988,Shoot to Kill,Jonathan Knox
1988,Betrayed,Gary Simmons
1988,Last Rites,Michael
1989,Major League,Jake Taylor
1989,Born on the Fourth of July,GySgt . Hayes
1990,Love at Large,Harry Dobbs
